source,target,dataset
jainxon ja chosko itin iká ángelnin jawen kopamea iká jawéki bariki chikoa iki jatianra barin chii xanan akai keskáakin jonibo menoa iki,el cuarto ángel derramó su copa sobre el sol y su calor comenzó a quemar a la gente,religioso
ja riki min tita akin jatian janra moa jawen xobonko boá iki jesús mawata,ahí tienes a tu madre y desde aquel momento el discípulo se la llevó a su casa,religioso
kárkelra jakonhakin xepoa non ointanke jainoax xepótitiibi ja koirannai sontárobo jainbi ikanke jaskara ikenbi non xepenxon oinnara ike tsoabi yama akin,hemos encontrado la cárcel perfectamente cerrada y a los centinelas fuera en sus puestos pero al abrir las puertas no hemos encontrado a nadie dentro,religioso
jawekeska ikaxa mia xewina kikin wetsa joniribi chania joti atipanke,puede ocurrir que haya sido invitado otro más importante que tú,religioso
ea riki abrahamman dios jainoax isaaknin dios itan jakobnin dios akin,yo soy el dios de abraham el dios de isaac y el dios de jacob,religioso
dios rabiti xobo meran boxon bená neteya iti joi jatíbi jonibo yoitankanwe akin,vayan hablen en el templo y anuncien al pueblo el mensaje de vida,religioso
ja kanchis itin iká ángelnin jawen trompeta xoon ati nokóketianra jaskara iti diossen yoini tson onanyamaabo moa senenti iki,apenas se oiga el sonido de la trompeta del séptimo ángel se habrá cumplido el plan misterioso de dios tal como lo había hecho anunciar por medio de sus siervos los profetas,religioso
japekáora nakor pacha chonka iskon baritiapari jaa iki jatianra wetsa jawen bakebo benbobo itan ainbobo jaribaa iki,después del nacimiento de terá najor vivió ciento diecinueve años y tuvo más hijos e hijas,religioso
jaskara iiti moa isaak wetsa main kaa iki beerseba akin akanai main,de allí subió a bersebá,religioso
japekaora satanássen jesús jerusalénhain boríbaa iki jainxonra ja dios rabiti xobo bochiki boxon,después el diablo lo llevó a la ciudad santa y lo puso en la parte más alta de la muralla del templo,religioso
jatianra en ninkata iki ja icha kabáyonin peyakaa sontárobo rabé pacha millón,el número de los soldados de a caballo era de doscientos millones es el número que oí,religioso
jaskara iken jaweratoki ikoni shinan meran dioski koshia shinanmeetai jara ochan pakénaketian koiranmeeti iki,así pues el que crea estar en pie tenga cuidado de no caer,religioso
moisésra iká iki westíora yonoti ikax ja diossen xobonko teekin ja atibo senenhaai jatian jawen teera iká iki ja ramakaya diossen yoiti jawékibo ikonkon onanna ixon jato onanmati,moisés actuaba en toda la casa de dios como fiel servidor dando a conocer lo que le habían dicho,religioso
jaskatax ja diossen shinannai keskatires jaax ja nekeabi non yora keenai jakonma jawékibo akí moa mato jayamati kopí,por ello entreguen lo que les queda de esta vida no ya a las pasiones humanas sino a la voluntad de dios,religioso
ja akonkin non dios noia iti riki neskara jawen join yoiai keskábores senenhai noa jati jatian ja joi ikonhakin peonontianbi maton ninkata riki ja diossen noa yoiai keskati wetsabo betanribi noianani noa jakanti paranmis jonibo,y el amor consiste en vivir de acuerdo a sus mandamientos este es el mandamiento que oyeron desde el comienzo y así es como han de vivir,religioso
ea jakonmai yoyo iketian ea yoiwe jawe jakonmaki en yoia ixon jatian ja en yoiabo ikon iketianki,si he respondido mal demuestra dónde está el mal pero si he hablado correctamente,religioso
jatian ja jawékiatiain chanikanabo boxon ja kikinbo iti akana yakátininshamanbo katotax yakákanaibo oinxon jesussen jato neskáakin esea iki,jesús notó que los invitados trataban de ocupar los puestos de honor por lo que les dio esta lección,religioso
jaskáa pekáo ja naikan iká diossen xobomeax wetsa ángel pikota iki jaribi iká iki westíora hoz kensho tsomáya,entonces un ángel que también llevaba una hoz afilada salió del santuario celeste,religioso
ja matobo dios noiti shinanribikinbi nato netemea jawékibores noiti shinannaibaon moa ocha akin jenekanwe maton shinanbo jawe jakonmaomabi imakanwe,purifíquense las manos pecadores santifiquen sus corazones indecisos,religioso
jawe ireskiaipanon,pobres de ellos,religioso
westíora jonira iká iki uva waia jaskara ixonra jawetii teetai jonibo jato bia iki jaskáatanan ochó jeman kaa iki,un hombre plantó una viña la arrendó a unos trabajadores y después se fue al extranjero por mucho tiempo,religioso
koirameekanwe ja ikon keskashamanhakin jato joi yoiai fariseobaonra mato parankanake,cuídense de la levadura de los fariseos que es la hipocresía,religioso
jaskákanketian ja joi akaibo boxon já manáon charoxon oinkanabi pablo wenita iki jaskatax jakiribi jeman karibaa iki jainoax nete xabáketian bernabé betanbi derbeain kabékona iki,pero sus discípulos se juntaron en torno a él y se levantó entró en la ciudad y al día siguiente marchó con bernabé para derbe vuelven a antioquía,religioso
ja jato xabá shinanyabo imai diossenbi kikin jawenabo mato imabanon jainxon jatíbi maton ikábo maton shinanbo maton kaya maton yoraribi jakopi ramiakin yoikanti yama mato imabanon,que el dios de la paz los haga santos en toda su persona,religioso
jato jaskáakin yoia retekasi kikini sinákana iki,ellos escuchaban rechinando los dientes de rabia y querían matarlos,religioso
mia riki jatíbiainoa jonibaon apo,justicia y verdad guían tus pasos oh rey de las naciones,religioso
jaskara kopí bakish iti jawékibaon masá shinanyamakanwe jara bakish winóti jawékibiribi iki,no se preocupen por el día de mañana pues el mañana se preocupará por sí mismo,religioso
ibó ja min joi non jato yoiabira noa ikonhaayamakana iki tsoaki jawen atipana koshi non ibon oinmaa iki iki iká,señor quién ha dado crédito a nuestras palabras a quién fueron revelados los caminos del señor,religioso
ramamein en jawe ati iki,qué voy a hacer ahora que mi patrón me despide de mi empleo,religioso
basimara joti jake ja joti joni,dentro de poco muy poquito tiempo el que ha de venir llegará no tardará,religioso
ja jain tsinkita iká iki pichika waranka jonibira jaskara ikenbi jesussen jaonmea onannaibo jato yoia iki,de hecho había unos cinco mil hombres pero jesús dijo a sus discípulos,religioso
jaskarakon riki ibó jatíbi atipana diossé,sí señor y dios todopoderoso tus juicios son verdaderos y justos,religioso
eaki yometso iki ja espadayabo itan jiwiabo bexon maton ea yatanti,a lo mejor buscan a un ladrón y por eso salieron a detenerme con espadas y palos,religioso
matonra onanyamake ja maton yokatai,no saben lo que piden,religioso
jatian ja kárkel meranoa joni koshin moa jawebi oinyamaa iki jatíbi jawéki moa joséki jenea ixon,el jefe de la cárcel no controlaba absolutamente nada de cuanto administraba josé pues decía yavé está con él y hace que le vaya bien en todo,religioso
jainxon abánon ja kárkel meran iká min wetsa pikotaanan ja maton ioai maton wetsa benjamínribi jaweamayamakin,en cuanto a mí si pierdo a mis hijos es que tenía que perderlos,religioso
ikaxbira min ea jen akamapari iketian en jaskáakashamai ja min ea akinnon ixon en tearesaitian min ea akinnama ikax minbi shinanxon ea akinnai iti kopí,pero no quise hacer nada sin tu acuerdo ni imponerte una obra buena sino dejar que la hagas libremente,religioso
davidkan baké ea noibawe,jesús hijo de david ten compasión de mí,religioso
ja abramman noxa lot sodomain jaa iketianra jaribi yatanxon jatíbi jawen jayata jawékiabi bokana iki,se llevaron también con ellos a lot hijo del hermano de abram con todo lo que tenía pues vivía en sodoma,religioso
ikaxbi enra mato yoiai ja apo salomónra jawen jakon chopabaon raokaayonaxbi ja joabo xewina metsá iamaa iki ixon,pero yo les digo que ni salomón con todo su lu jo se pudo vestir como una de ellas,religioso
jatian ja mawatabo jiriti ja moiséssen wishani meran yoiaiboki maton yoyo akama iki jainra yoiai ja zarza jiwi tiritai meranxon diossen neskáakin moisés yoini,y en cuanto a saber si los muertos resucitan no han leído en el libro de moisés en el capítulo de la zarza cómo dios le dijo,religioso
ja iboaxon yonokanaibora en yoiai ja nato mainxon mato jan yonoaibaon yoiaibo jatíbi jato senenhaxonkanwe jabaon oinnares jato betan jakon banénoxonma ikonkon maton jointianixbi non iboki rakétaanan,siervos obedezcan en todo a sus amos de la tierra no sólo en presencia del patrón o para ganar en consideración sino con sinceridad porque tienen presente al señor,religioso
jatianra abram jakonhakin shinanxonkin neskáakin yoia iki,melquisedec bendijo a abram diciendo,religioso
ichabokanabira jawetianbi jan jato kopikin icháyamaa iki masábo tenemakanabira ramara en mato ashokoai akinbo jato ayamakin dioskires jato jenea iki jan jaton akábo atibi keskáakin ponté jato yoixonai iketian,insultado no devolvía los insultos y maltratado no amenazaba sino que se encomendaba a dios que juzga justamente,religioso
mato jakonbires dios betan ibanon akin,paz a ustedes,religioso
baké diossenra noa meniti iki karnero ja retexon keyokin menoti akin jawen papan aká iki,abraham le respondió dios mismo proveerá el cordero hijo mío,religioso
jakonmaibiresi ikai dioski yoyo iki,realmente se burla de dios,religioso
ikonhati jisáma ikenbira en mato yoiai juanbi riki ja profeta elías joti yoikatikanai ja,pero si ustedes aceptan su mensaje juan es este elías que había de venir,religioso
ja non jawékiaitoninra ayamai joni jakonma imakin,lo que entra por la boca no hace impura a la persona pero sí mancha a la persona lo que sale de su boca,religioso
joséra kimisha chonka baritiaya iká iki faraónhiba bokanontian,josé tenía treinta años cuando se presentó ante faraón rey de egipto,religioso
jainxon ishtontaniribi matoiba kanon ixon ea diossen akinti kopíribi orankanwe senentiainbi jato saludana,les ruego encarecidamente que recen a dios para que cuanto antes pueda volver a ustedes,religioso
jaskarainoax iki ja agar arabiain iká sinaí janeya mananki yoinmeeta ja iki nato main iká jerusalén yoii iká ja jema iki jainoa joniboyabi inaaxon yonokanai joni keskabo,agar era de arabia donde está el monte sinaí y representa a la jerusalén actual que es esclava lo mismo que sus hijos,religioso
ikaxbi jatíbi ja ibo rabiaibora mawáinoax xabakaati iki jaskara ikaxa sión mananman jerusalénhain jakanti iki jaskara ati ibon yoia keskára iti iki,entonces serán salvados todos aquellos que invoquen el nombre de yavé,religioso
jainoax jan teetaibobiribi ikaxa jatíbi jaton wakaboyabi jaton karneroboya bekanke,le diré también que ustedes son pastores de ovejas que se dedican a la crianza de animales y que han traído rebaños vacas y todas sus pertenencias,religioso
neskarabokiriakinribira ja mato bomai kirikabotiibi mato wishaxona iki jatian jatíribi jan wishaa joibora onantikomabo iken ja onanmashokobaon itan ja kristoki ikoni koshikanamabaon ja jatíribi wishakaata diossen joibo akanai keskáakinribi wetsaoriakanai jaskara kopíra jatonbinix manotiain bonoxikanai,e insiste sobre esto en todas sus cartas hay en ellas algunos puntos difíciles de entender que los ignorantes y poco firmes en la fe interpretan torcidamente para su propio daño como hacen también con las demás escrituras,religioso
jatian jawéki anoxa enra akai ikires mato iti jake jatian ayamanoxa enra ayamai ikiresibi mato iti jake mato diossen kastigantima kopí,que su sí sea sí y su no no de otro modo serían reprensibles,religioso
min chiní bakebo tsinkixon westíora main en jato imaara ichabires ikanti iki jakonhakinra en mia shinanxonti iki itan kikin jakon ninkakataira en mia imati iki jainoax wetsabo jakonhaira mia iti iki,haré de ti una gran nación y te bendeciré voy a engrandecer tu nombre y tú serás una bendición,religioso
matonki onanyamaa ja jakonma jawéki akaibo diossen ikinaton jati netenko jikiamakanti,no saben acaso que los injustos no heredarán el reino de dios,religioso
jaskati noiananira ja makedoniainoa non wetsabo betan mato jake ikaxbira non mato yoiribiai nokon wetsabo bebonbireskaya mato noianankanon ixon,ya lo practican con los hermanos de toda macedonia pero los invito a hacer todavía más,religioso
ikaxbi matonra jaskáyamakin atima keská jawékibo akai ja mato betan joi akaibobi yometsoakin,al contrario son ustedes que cometen injusticias y perjudican a otros que además son hermanos,religioso
ea keenai riki kristo onantinin jan jirimani atipana koshiribira emeran en imakasai já onitsapini keskatiribira ea onitsapikasai jainoax ja mawáni keskatiribira ea mawákasai,quiero conocerlo quiero probar el poder de su resurrección y tener parte en sus sufrimientos y siendo semejante a él en su muerte,religioso
jaskara joi ninkatax ja joi akaibo jatikaxbi kikini rarokana iki,al pasar contaban con todo lujo de detalles la conversión de los paganos lo que produjo gran alegría en todos los hermanos,religioso
diossenra onanke mato en akonbireskin shinannai jesukriston amaara en mato akonkin noike,bien sabe dios que la ternura de cristo jesús no me permite olvidarlos,religioso
jatian moa yatanxon ja sakerdotebaon koshin xobonko jesús bokana iki,entonces lo apresaron y lo llevaron a la casa del sumo sacerdote donde entraron,religioso
ikibo judío koshibaon jesús ikonhayamakana,jesús se declara hijo de dios,religioso
jatian ja bake pikota moa posaka neteya iketian jawen jakina rebichi xatexonkana iki jaskáaxonra jesús akin janekana iki ja maría tootamatianbi jaskáakin janeti ángelnin yoia iketian,cumplidos los ocho días circuncidaron al niño y le pusieron el nombre de jesús nombre que había indicado el ángel antes de que su madre quedara embarazada jesús es presentado en el templo,religioso
jaskakenbi ja xepóti koirannai ainbaon pedro neskáakin yokata iki,la muchacha que hacía de portera dijo a pedro,religioso
jatian jan bea jonibaon kikinhakin ikonhakana onanxon jesussen ja isinai yoia iki,al ver la fe de aquella gente jesús dijo al paralítico,religioso
jawekopiki ja non ibon shinanna keská ikainbi jaki yoitimakin jakonmabires shinankin min jeneyamai,cuándo terminarás de torcer los rectos caminos del señor,religioso
ramara enribi mato yokatai ea yoikanwe,yo también les voy a hacer a ustedes una pregunta háblenme,religioso
icha jonibaonra jan cheata jakonma jawékiboribi anoxikanai jatian jatokopiribira ja ikon joi jakonmaakinbo yoinoxikanai,muchos imitarán sus vicios y por su culpa será desprestigiado el camino de la verdad,religioso
en jisábiribira nato joni jakopi non reteti jawéki yamake,yo no he encontrado nada que merezca la muerte por eso después de azotarlo lo dejaré en libertad,religioso
jatian ja korderonin ja sokota itin jan xepoa ras aketian en oinna iki kikin koshi niwanai jatianra ja benomaaxon sawekanai wiso chopa keskati bari wisoa iki jainoax oxeribi jimi keska joshín baneta iki,y mi visión continuó cuando el cordero abrió el sexto sello se produjo un violento terremoto el sol se puso negro como vestido de luto la luna entera se tiñó como de sangre,religioso
jatianra ja ángelnin mekenmamea ja kirikashoko bixon en piá mishkin keska batashaman iká iki ikaxbi ja nokon poko meran boaxa moa mokaa iki,tomé el librito de la mano del ángel y me lo comí en la boca era dulce como la miel pero cuando terminé de comerlo se me volvió amargo en el estómago,religioso
jaskáketianra abraham jainoa jonibo jakon iketian jakiribi jato bebon beókaina iki,abraham se inclinó de nuevo profundamente ante los hititas y se dirigió a efrón de modo que los propietarios presentes lo oyeran y le dijo,religioso
jaskatibo yoyo ikinra moa maton onanke mato riki ja profetabo jan retekatitaibaon chiní bakebo ixon,así ustedes se proclaman hijos de quienes asesinaron a los profetas,religioso
jaskákinra yapa biai jonin mishkiti betan jawen redbo rabiai jainxonra jabo rabikin yoinabo retexonai itan inkienso inintibo menoxonai jabo kopíresa jakon itan icha pitia iki,feliz y contento por su pesca le ofrece sacrificios a su red quema incienso a sus mallas pues a ellas les debe que haya pescado tanto y tenga que comer en abundancia,religioso
ramara non ake jan ratéti jawékibo oinkin ikibo leví jesussen kenaa,hoy hemos visto cosas increíbles pues todos estaban sobrecogidos de un santo temor leví sigue a jesús he venido para llamar a los pecadores,religioso
naikanxonbi ibon ángelnin kenaa iki abraham abraham akin neno riki ea iki iká iki,pero el angel de dios lo llamó desde el cielo y le dijo abraham abraham contestó él aquí estoy,religioso
jatian ja joi akaibo ja wishá yoyo akax ikonbiresi rarokana iki ja jakon shinan jato menia,cuando la leyeron todos se alegraron con aquel mensaje de aliento,religioso
ikaxbira jakon akanti jake ja ibon atipana koshia ixon jato akinnai kopíres,pero no se caerá porque su señor tiene poder para mantenerlo en pie,religioso
ramara higoki yoinhanan en mato onanmai ja higo jawen peibo tinini keyotax pechokooketian oinxon akai maton onankin moara baritiati ochóma iki ixon,aprendan de este ejemplo de la higuera cuando las ramas están tiernas y brotan las hojas saben que el verano está cerca,religioso
jatian ikonhayamani ixonbi moa judíobaon ikonhakanketianra jakiribi jawen jonibo jato diossen imatiki jaskáakin jato jakiribi imati atipana koshia riki dios,en cuanto a ellos si no se obstinan en rechazar la fe serán injertados pues dios es capaz de injertarlos de nuevo,religioso
miabiribira moa yosishamanax jakonshamabires shinan tantishamanres mawánoxiki jaskatax min anibo ikainribi mia miimetax jato betan iki mia kanoxiki,en cuanto a ti irás a reunirte con tus padres en paz y serás sepultado después de una ancianidad dichosa,religioso
beparametaibo riki mato,ustedes son unos falsos,religioso
jatian janra bochiki iká ani chité moa jakonhakin matsóyonshamana mato oinmati iki jainxon ja paskua fiestatian jawékiati jainxonra jatíbi ja jawékiatibo maton ati iki akin,el les mostrará una sala grande y amueblada en el piso superior preparen allí lo necesario,religioso
ikoni jakonbires itin keenkin jatíbi mia jayata jawékinin maroxon ja jawebiomashokobo jato menitanwe,si quieres ser perfecto vende todo lo que posees y reparte el dinero entre los pobres para que tengas un tesoro en el cielo,religioso
jatian zabulónman rarebobo ikana iki chonka rabé waranka jatian josekan rarebobo ikana iki chonka rabé waranka jatian benjamínman rarebobo ikana iki chonka rabé waranka icha joni joxo chopa sawéyabo,de la tribu de zabulón doce mil marcados de la tribu de josé doce mil marcados de la tribu de benjamín doce mil marcados,religioso
kikinhakinra yoshinman ja joni iboa iká iki,en muchas ocasiones el espíritu se había apoderado de él y lo había llevado al desierto,religioso
jaskara kopíra ja ibon joi meran noa yoiairibi non mato onanmai ja kristo joái kaman noa jaresparia joi akaibora ja mawatabo potabaini noapari kayamanoxiki,les damos esto como palabra del señor nosotros los que ahora vivimos si todavía estamos con vida cuando venga el señor no tendremos ventaja sobre los que ya han muerto,religioso
joi akaibaon orana,la oración de la comunidad,religioso
jainoax jato yometsoaiboribi iamakanon jaskáyamaikaya ja ikonhakin jaki jakon shinankanaibo ikanon jaskáxon jakonhira riki jan noa kishpinmai diossen joi iki ixon onankanon,que no roben a sus patrones sino que se muestren dignos de toda confianza así atraerán elogios sobre la doctrina de dios nuestro salvador,religioso
itan mato sakerdotebaon shinanna riki yoina benchebo chantobo iamax isinaibo inonbi ea meninoxon beti maton joni koshibo jaskarabo boxontankanwe oinkanwe jabaonki maton menia jakonhaxon bitiki ixon,cuando ustedes traen para sacrificarla una bestia ciega o cuando presentan una coja o enferma creen que actúan bien llévasela al gobernador a ver si queda contento o si te recibe bien dice yavé de los ejércitos,religioso
ja marta iká iki westíora wetsaya jawen jane maría jara jesussen joi yoiai ninkati ja namanbi yakata iká iki,tenía una hermana llamada maría que se sentó a los pies del señor y se quedó escuchando su palabra,religioso
mato riki ja profetabaon chiní bakebo itan ja maton reken papashokobo betan ja senenhabekonti joi diossen aní nokoabo diossenra abraham yoia iki,ustedes son los hijos de los profetas y los herederos de la alianza que dios pactó con nuestros padres al decir a abrahán,religioso
jaskati ikana iki ja jesús yoii neskati,y de cían conocemos a su padre y a su madre,religioso
jaskáribiakinra chiimapobicho banekantiakin menoanan ja sodoma betan gomorrain iká jonibo jato diossen keyoa iki jaskáxon rama jakonma akí jakana jonibaonribi ja oinxon onankanon ixon,también condenó dios a las ciudades de sodoma y gomorra reduciéndolas a cenizas para que sirvieran de escarmiento a los malvados del futuro,religioso
jawekeskaxonbira min biti yamake diossenra onanke mia jakonma shinanya,tú no puedes esperar nada ni tomar parte en esto porque tus pensamientos no son rectos ante dios,religioso
jaskatira ikai jatíribibo ea riki pablona iki wetsa ikai ea riki apolosna iki ja joi ayamaibo ikai keskatiresibi mato ikanai kopí,mientras uno dice yo soy de pablo y otro yo soy de apolo no son ustedes gente común y corriente,religioso
jatian jaweratobaonki ja ori iti yoii iká joibo nato kirika meranoa soai jabora diossenribi jan jati jiwi bimi kokomatima iki itan nato kirika meran yoiai jawen jakon jemankoribi jikimatima iki,y si alguno quita algo a las palabras de este libro profético dios le quitará su parte en el árbol de la vida y en la ciudad santa descritos en este libro,religioso
jatianbira boozsen ja jemamea chonka joni koshibo jato kenaxon jabé yakáti jato yoia iki,cuando pasó lo detuvo y lo invitó a sentarse,religioso
maton shinannamainbira ja maton ribinabo matoki nokoti iki jan mato masá tenemaibo matoki pikóxonra jawebioma mato banékanti iki,vendrán de pronto tus acreedores y se despertarán quienes te quiten todas tus cosas,religioso
nonra onanke jatíbi ja diossen imai jawékibora jawen noi bakebo jan jakonhati jawéki iki janra jaskáai ja moabi jaskara shinanna ixon jato kenaabores,también sabemos que dios dispone todas las cosas para bien de los que lo aman a quienes él ha escogido y llamado,religioso
jawekopiki mia noiba joá nazarethainoa jesús,qué quieres con nosotros jesús de nazaret,religioso
jainoax icha isinai jonibo meranoaxibi yoshinbo jokona iki jaskati jokonira neskatibo saí ikana iki,también salieron demonios de varias personas ellos gritaban,religioso
jaskara ixon min oinna ja mia jain jaa mai jakonshaman jain jati jisá ointaanan mia yanka yonokin teemakanabira jakonshaman shinanyaxonres min jato teexonoxiki akin aká iki,encontró un buen lugar de descanso y como vio que el país era agradable inclinó su espalda a la carga pasará a ser esclavo,religioso
jaskáakin shinanxonra en onanke ea mato betanpari ikí kaai jaskáaxon mato bebonkinti kopí dioski koshiax mato raroshaman ikanon ixon,convencido de esto sé que me quedaré y permaneceré con todos ustedes su fe progresará con esto y será más alegre,religioso
ja jaonmea onanaibaon oinnonbira ichabiresakin jesussen ja oinxon onanti ratétibo aká iki ikaxbira nato kirika meran jatíbishaman wishaama iki,muchas otras señales milagrosas hizo jesús en presencia de sus discípulos que no están escritas en este libro,religioso
ja neteribira jaweti sadukeobo jesússiba bekana iki jabaonra mawatabo jiriti ikonhaayamakanai jaskakinra jesús yokákana iki,ese mismo día vinieron a él algunos saduceos según ellos no hay resurrección de los muertos y por eso mismo le propusieron este caso,religioso
ishtontani mia oinni katira en shinannai ikaxbira nato kirika wishaxon en mia bomai,te doy estas instrucciones con la esperanza de ir pronto a verte,religioso
jainxon ja ángelnin jain inkienso ati bixon jainxon dios yoina menoxontiainoa chii tsisto bitaanan bochoaxon maiori potaa iki jatianra tirin ika iki riri ika iki kanábo biria iki itan niwana iki trompetabo,después el ángel tomó su incensario lo llenó con brasas del altar y las arrojó sobre la tierra hubo tremendos truenos relámpagos y terremotos las siete trompetas,religioso
jatian jatíribi jain iká koshibo sadukeobo itan jatíribi fariseobo iketian onantaanan pablon jato koshin yoia iki,pablo sabía que una parte de ellos eran saduceos y la otra fari seos así que declaró en medio del sanedrín,religioso
ja non ibo jesukristo jawen jonibaonbiribi rabiti nete nokóketian itan ja joi akaibo já oinnax jaki ratéti nete nokóketian jatian matora ja non yoiabo ikonhaa ikax moa jato betanribi iki,vendrá aquel día para ser glorificado en sus santos y para que todos admiren su obra en los que creyeron entre los que están ustedes que acogieron nuestro testimonio,religioso
jatian tsonkayaki mato wetsa shinan bimaxon ja ikon join yoiai keská ati mato jenemaa,quién les dio la señal de detenerse para que ahora no sigan la verdad,religioso
diossenra jatíbi ja koshi shinanyabo itan yoiti koshia shinanbo jaton atipana koshibo jato ras akanana iki jainxonra ja kristo meranxon jatíbibaon oinnonbi já namanbires jato imaa iki nexaxon jato ninianan dios keenai keskatires jati,les quitó su poder a las autoridades del mundo superior las humilló ante la faz del mundo y las llevó como prisioneros en el cortejo triunfal de su cruz las prohibiciones inútiles,religioso
minki onanyamaa ea jaweayamakanon ixon ja nokon papa en yokáketian ramabishoko kikinbires icha ángelbo ea jan raanxonti,no sabes que podría invocar a mi padre y él al momento me mandaría más de doce ejércitos de ángeles,religioso
nato netemeax noa onitsapitaibora basima winotaibores iki ikaxbi jaskarabaonra jawetianbi keyoyosma bená jatiabo noa imai,no se pueden equiparar esas ligeras pruebas que pasan aprisa con el valor formidable de la gloria eterna que se nos está preparando,religioso
jainoax jaribakanke romameax bekanabo,hay forasteros que vienen de roma unos judíos y otros extranjeros que aceptaron sus creencias,religioso
nato nete joniamatianbi noa noia diossenra,esta llamada que nos concedió en cristo jesús desde la eternidad,religioso
jatian jaskata oinnax ja romano sontárobaon kapitán dios rabii neskata iki,el capitán al ver lo que había sucedido reconoció la mano de dios y dijo,religioso
ja yoiira,no van a decir,religioso
jatian jaweratobaonki ja eki koshia bakebo jato ochan pakémai jabora jan reneti ani makan teomaxon aniparo napo jato potakanti bebonbires jakonma biti iki,al que haga caer a uno de estos pequeños que creen en mí mejor le sería que le amarraran al cuello una gran piedra de moler y que lo hundieran en lo más profundo del mar,religioso
papá minra jatíbi atipanke,abbá o sea padre para ti todo es posible aparta de mí esta copa,religioso
jatian nete xabáketian mananmameax moa naman beribakana iki jatianra icha joni ja jesús bechii bekana iki,al día siguiente cuando bajaban del cerro les salió al encuentro un tropel de gente,religioso
moisés meranxonra noa diossen jawen esébo onanmaa iki ikaxbi jesukristo meranxonra noa onanmaa iki jawen ikon joibo itan noa jaskáakin noiabo,por medio de moisés hemos recibido la ley pero la verdad y el don amoroso nos llegó por medio de jesucristo,religioso
ja riki nokon bake josekan tari ja pimís yoinanin piara ibirai iki,es la túnica de mi hijo algún animal feroz lo ha devorado josé ha sido despedazado,religioso
