source,target,dataset
jatian en oinna iki naikan wetsa ja oinxon onanti ratéti jawéki ikai ja iká iki kanchis ángelbo ja senentiainbi jan jato jakonmaati kanchis jawékia jabo iká iki jaskaa pekáo moa dios siná tantiti nete senenai,vi luego en el cielo otra señal grande y maravillosa siete ángeles que llevaban siete plagas las últimas porque con ellas se consuma la cólera de dios,religioso
¿maton kenri jawekeskaki itina mato jainoax axeai?,¿les gusta cómo se ve su salón?,educativo
ja esaú meraxon jaskaakinbires yoinoxikanwe,todo pertenece a tu siervo jacob y todo es un regalo que él envía a mi señor esaú el mismo viene detrás de nosotros,religioso
tsinkiti 7:,sesión 7,educativo
nato ikonkon onanna joni rabé riki ja mai ibo bebon rabé olivo jiwi betan ja rabé lamparin itina keská,estos son los dos olivos y las dos lámparas que están ante el dueño de la tierra,religioso
wishá meranra ikai já yoii neskati enra ja sión jeman westíora koshi makan akai jara en katota iki jara kikin kopí iki jaki koshiabora paranmeetabo ikantima iki iki,dice la escritura yo voy a colocar en sión una piedra angular escogida y preciosa quien se afirme en ella no quedará defraudado,religioso
westiora bake presilabiko westiora silabiko itan,un estudiante presilábico con uno silábico y,educativo
jatian esé onan jonin yoia iki,el maestro de la ley le contestó,religioso
neskatiribi raokaatabora ikana iki ja moatian dioski menikaata ainbobo jabora ikoni dioski koshikanabo ikax jaton benen yoiai keskati ikai ainbobo ikana iki,de ese modo se adornaban en otros tiempos las santas mujeres que esperaban en dios y obedecían a sus maridos,religioso
noara keenyamai mato chikish itin jaskáyamaikaya ja dios ikonhaax jaki koshiabo ixon jatsanyamakin ja jatíbitian jayáti jato diossen meniti yoia bii kaai mawakanwe ja senenhabekonti joi diossen senenhai,no se vuelvan flojos sino más bien imiten a aquellos que por su fe y constancia consiguieron al fin lo prometido,religioso
ikanwe jaweratoboki nomiai neri bekanwe ja kopímabi jati onpax maton xeanon,el que tenga sed que se acerque y el que lo desee reciba gratuitamente el agua de la vida,religioso
natokayarin maton wetsa chiní já yoikin maton ea ayantana,es éste el hermano menor del cual me hablaron,religioso
ja raamá bakebora iká iki seba betan dedán,hijos de ramá sebá y dedán,religioso
ja yoka akabo wishawe pisarain iamax westiora papeloteain jaskaaxon onanti kopi jakiribi ja wisha chopexon oinribiai ora,registra sus respuestas en la pizarra o en un papelote para que las tengan en cuenta en la revisión de su texto,educativo
ja kanchis wishtin riki ja kanchis jematiibi ikana joi akaibo ikinai ángelbo yoii iká jatian ja kanchis lamparin riki kanchis jemamea joi akaibo yoii iká,las siete estrellas son los ángeles de las siete iglesias y los siete candeleros son las siete iglesias,religioso
jatian jatíbi maton orakion meran yokataibora akonkin ikonhaxon maton biti iki akin jato aká iki jesussen yoiti koshi,quítate de ahí y échate al mar y así sucederá todo lo que pidan en la oración con tal de que crean lo recibirán jesús responde a las autoridades,religioso
jatíribi matobora moa kikinman shinanmeekanai ea moa mato oinni kayamai shinannax,a algunos de ustedes se les hinchó la cabeza pensando que yo no iría a visitarlos,religioso
iti atipanke pikoti yoyo ika pekao,es posible que como resultado del diálogo,educativo
ja kriston joi jawen icha jakon jawékiabi mato meran ikí jenéyamabanon jainoax wetsabo betanribi shinanti onanbo ikax axeanankanwe itan ponténox notsinanankanwe jainxon maton jointiaxonbi dios iráke aki salmos itan ja diossen shinanman bewá pikoaboribi bewakanwe,que la palabra de cristo habite y se sienta a gusto en ustedes tengan sabiduría para que puedan enseñar y aconsejar unos a otros canten a dios de todo corazón y con gratitud salmos himnos y alabanzas espontáneas,religioso
ikonshamanra en mia yoiai ja benati pikóyamaitonra jawekeskaxonbi diossen nai nete ointi atipanyamake akin,en verdad te digo que nadie puede ver el reino de dios si no nace de nuevo desde arriba,religioso
jatian kristo jiriamani iketianra ja non mato yoiai joibo jawemabi ikeanke jainoax yankabiresibi ja joi maton ikonhaabo ikeanke,y si cristo no resucitó nuestra predicación no tiene contenido como tampoco la fe de ustedes,religioso
¿jawe kopimein jaton tsama akanke janekin cientifikobo ixon?,¿por qué habrán puesto a su grupo somos científicos?,educativo
jaskáakin senenhataanan mananmameax moa jesús ipakea iki jawen katota joniboyabi beax ja manan teshanpa ikain ikana iki jatian ja icha joni tsinkitabo ikana iki judea mainmeax jerusalénhainoax jainoax ja tiro keibakeax itan ja sidónhainoax bekanaboribi,jesús bajó con ellos y se detuvo en un lugar llano había allí un numeroso grupo de discípulos suyos y una cantidad de gente procedente de toda judea y de jerusalén y también de la costa de tiro y de sidón habían venido para oírlo y para que los sanara de sus enfermedades,religioso
jainoax ramaribi ja ikon join yoiai keskatibo jaax maton shinan meran moa jakonabo mato ikanai jaskáaxon mato betan joi akaiboribi ikonkon maton noiti kopí jaskara kopíra jakon shinanyanix maton koshianixbi wetsabo betan mato noianankanti jake,al aceptar la verdad han logrado la purificación interior de la que procede el amor sincero a los hermanos ámense pues unos a otros de todo corazón,religioso
jaskara ikenbira ibon oinna noébichores jakon iká iki noekan ani waporo,noé sin embargo se había ganado el cariño de yavé,religioso
jaskáakin yoikana ja jonin shinanna iki bakish jain barishamanribi,el padre comprobó que a esa misma hora jesús le había dicho,religioso
jaskáaxpariresa mia naikan icha jawékia itiki,después ven y sígueme,religioso
jaskáakin akanara diossen xobo napobi janbisbaintiakin judassen koríkibo potaa iki jaskáabaini kaax risbikan tenexetax mawata iki,entonces él arrojando las monedas en el templo se marchó y fue a ahorcarse,religioso
jain iká iki simonman rayós ainbo yonatax rakata jaskara iketianra jesús keshankana iki,la suegra de simón estaba en cama con fiebre por lo que en seguida le hablaron de ella,religioso
jara noa kopi mawata iki mawatax iamax jiriapari ikaxbi noa jabetanbi jakanon ikax,el murió por nosotros para que despiertos o dormidos vivamos con él,religioso
plumon rastonbo ja jisabiresbo,plumones gruesos del mismo color,educativo
kenaz temán mibsar,el jefe cenez el jefe temán el jefe mabaar,religioso
yokabo jato awe jainxon tanawe jaskati tsinii bokanai yonoanani jainxonribi jato westiora tarjeta oinmayanan,plantea preguntas y realiza un ensayo del juego dando una orden y mostrando una tarjeta,educativo
jatiribibaon patsatai,unos lavan,educativo
ja kirika meran iká wishá esébo itan ja profetabaon wishani joiboribi en ikonhaitian,creo en todo lo que está escrito en la ley y los profetas,religioso
ja pekao yokawe jaweranoki tsamankanai ani wisha seneanti shinanbo akana,luego pídeles que acuerden dónde colocarán el cartel de responsabilidades que han elaborado,educativo
jatian xontakotian benoax kanchis baritia já betan jaa iká iki,casada cuando joven había quedado viuda después de siete años,religioso
yoiwe jawetianki iti atipana tee ati jawekibo peokiti itan ja seneankai jonibaon westiora oinbokin ati kopi itanribi westiora calendario iti jake mekeain,organiza las fechas de las actividades y los as responsables en un cronograma y un calendario a la mano,educativo
jenewe aparibakanon shinankin ixon,deja un tiempo para que los observen,educativo
jain yoyo ati kirika benxoati itanribi jainoax benxokati,biblioteca y rincón de aseo,educativo
ja diossen wishá meran yoiai keská tsonki non ibon shinannabo onanna tsonmein já eseti atipanke iki ikai ikaxbi nonra ja diossen shinanya ixon kriston shinannai keskáribi shinannai,quién ha conocido la forma de pensar del señor y puede aconsejarle y precisamente nosotros tenemos la forma de pensar de cristo,religioso
¿jawekeskaaxon itan jaweranomein non ati iki merakin?,¿dónde y cómo podemos ubicarlos?,educativo
yoiwe jato shinankanon,diles que recuerden,educativo
¿jawekeskati raenanaimein iki maxo betan oxe?,¿qué relación creen que existe entre el zorro y la luna?,educativo
bakebo yoyo axonwe ja wishabo axetiainko ikabo itanribi iskoiranko wisha ikabo,lee a los niños y las niñas los letreros de las aulas y de los ambientes que tiene la escuela,educativo
tsinkiwe jainxon wishatiainko shinanbo,organiza en la pizarra las propuestas,educativo
ja jain noa diossen tantimati ikainko jikinoxkaya koshinon akanwe jaskatax ja ikonhayamaibo ikáni keskatiribi tsoabi ikantima kopí,esforcémonos pues para entrar en su descanso y que nadie merezca por su falta de fe el castigo de que hablamos,religioso
¿matonki yoyo ati atipana ja kartelbo ikainoa jawe yoi ikarin ixon?,¿pueden leer lo que dice en cada cartel?,educativo
"jaskara yoiya pekao,",en virtud de lo expuesto,educativo
ramara en mato yoiai jatíbi ja nokon joi ninkáxon jan yoiai keská senenhaiboki jawe jawéki keskábo iki ixon,les voy a decir a quién se parece el que viene a mí y escucha mis palabras y las practica,religioso
jatian isaak iká iki jara jake itan eara oinnai ika pozonkoniax joá ja néguev mainko jaa ikáx,isaac acababa de volver del pozo de lajay roi pues estaba viviendo en el negueb,religioso
enra shinanke jatíbi jonibo keyonoxon jaton jakonma kopíra nato neten ikonbiresi onsati reteanankanai jaskara iketianra en jato keyoai jatíbi nato neten ikáboyabi,he decidido acabar con todos los seres vivos pues la tierra está llena de violencia por culpa de ellos y los voy a suprimir de la tierra,religioso
jatian jaskáshamanhaxon neskara jawékibo ati onanyamaxon en pablo yokata iki kakiatiki jerusalénhainxon nato jawékibo benxoai ixon,como yo me perdía en esos asuntos le pregunté si quería ir a jerusalén para ser juzgado allí sobre esas cosas,religioso
ja enok ra iradnin papa iká iki irad iká iki mewjaelnin papa mewjael iká iki metusaelnin papa jainoax metusael iká iki lámeknin papa,con el tiempo henoc tuvo un hijo que llamó irad irad fue padre de mavael mavael padre de matusael y éste de lamec,religioso
jatian jaskáakin ikonhaa kopíribira tsini ainbo rahab janeya ja yoitimabo betanribi mawáyamaa iki ja joné jato oinni bekana israelitabo jakonhaxon jawen xobon jato bia kopí,por su fe la prostituta rahab dio buena acogida a los espías y escapó a la muerte de los incrédulos,religioso
ishtontani kamenwe ja nokon bake mawatamatianbi akin,señor ten la bondad de venir antes de que muera mi hijo,religioso
jatian ja maton banaabo moa iketian tsekaxonra pichika tsamáinoa westíorares faraón maton meniti iki,cuando llegue el tiempo de la cosecha darán la quinta parte a faraón y las otras cuatro partes restantes serán para ustedes como semillas de siembra y como alimento para ustedes su familia y los que estén en su casa,religioso
paninwe jan oxebo ointi,coloca un calendario en el aula,educativo
ja aibaonra jakon aká iki enra jakonma ake ja nokon benbo bake selá betan benomayamaa kopí,soy yo el culpable y no tamar porque no le he dado a mi hijo sela,religioso
esébo senenhayamaxon non ramibires teneti ikenbira kristo non ocha kopi jakonma joni keska mawáxon noa kishpinmaa iki wishá meranra ikai neskati,pero cristo nos ha rescatado de la maldición de la ley al hacerse maldición por nosotros como dice la escritura,religioso
nato jawekira non akai oinkin westiora iamax rabe competencias nato area curricular ikainkoniax,este reto se afronta desde una o dos competencias de alguna de las áreas curriculares,educativo
jaskara iken ja labánman jawen yanka yonoti ainbo zilpá bexona iki ja jawen bake lean yonoti inon ixon,labán dió a lía su propia esclava zilpá para que fuera sirvienta de ella,religioso
ja rekenmanara benbo bake iká iki ja janea iká iki moab ja iki ramatian moabitabaon papashoko,la mayor dio a luz un hijo y lo llamó moab éste fue el padre de los moabitas que todavía existen hoy,religioso
jabi jeneyamakin yokáboreskanaitian bewakeexon jato yoia iki,como ellos insistían en preguntarle se enderezó y les dijo,religioso
maestró oinwe nato makan akana ani xobo jainoax jawen chikéribi metsáshaman akin,maestro mira qué inmensas piedras y qué construcciones,religioso
yoyo akanti ja peokota joi itanribi yoikanti,que lean el título y que señalen,educativo
anibires ratéti jawékibo itan ja oinxon onanti jawékiboribi en aka iki ea diossen shinanman atipana koshi meniaton,con cantidad de milagros y prodigios y el poder del espíritu santo,religioso
mia iki ja diossen xobo ras axonra en kimisha nete pekáobi jakiribi aríbatiki iki iibata rama minbix kishpinmeewe ikon diossen bake ikax ja korosenmeax pakéwe akinbo akana iki,vaya tú que destruyes el templo y lo levantas de nuevo en tres días si eres el hijo de dios líbrate del suplicio y baja de la cruz,religioso
¿jawekeskaki yoikana maton kaibobaon nato tee non akana?,¿qué les pareció esta actividad a sus familiares?,educativo
minki griego join yoyo iti onanna,pero tú hablas griego,religioso
natonra aki kai seneanmakin jawen jane wishati reken silabanin peoa,esto hará que complete la primera sílaba de su nombre,educativo
jaskaaxon non peoti kopira,para el abordaje de lo planteado,educativo
"xepoxon yoitanan jaska akin wishati bakebaon jane jaskaaxon tsinki ikainko benbo bakebo itan ainbo bakeboribi ikanti kopi,",cierra diciendo que han usado la escritura para registrar el nombre que identifica a un grupo de niños y niñas,educativo
jaskáakanketianra wetsa jawen yonoti jatoiba raanribia iki ikaxbira tsakaxon maxteyonkana iki jaskáax jakonmaibiresbo jaki yoyo ikana iki,envió de nuevo a otro servidor y a éste lo hirieron en la cabeza y lo insultaron,religioso
ja jaweki akanti yoiwe,plantéales el siguiente reto,educativo
jatian miakaya en imanon ikax eiba joá,tú vienes a mí,religioso
jatian ja kanchis iti netera jakon iki ixon yoia iki ja netera meketi iti iki ixonra onantiakin yoia iki ja netera jatíbi jawéki joniai teetax tantia iki,bendijo dios el séptimo día y lo hizo santo porque ese día descansó de sus trabajos después de toda esta creación que había hecho,religioso
entrégales westiora ficha jaskaaxon procedan jaskaaxon revisión jaton wisha,entrégales una ficha para que procedan a la revisión de su texto,educativo
mia diossen kopíabanon abánon israelbaon ibo diossen min jaki koshinoxon benaa iketian jatíbi min aká kopí mia jan kopíakin akin,que yavé te recompense tus buenas obras y que el dios de israel bajo cuyas alas te has cobijado te dé el premio que mereces,religioso
ainbo bake itan benbo bakebora tsinkitax yoyo ikanai jaskaaxon jakon akin jain kirika joyontibo ati kopi,las niñas y los niños conversan sobre la necesidad de organizar la biblioteca de aula,educativo
yoiwe jakonshaman akin jabaon yoiyai keska,enfatiza en mejorar con ellos el sentido del mensaje,educativo
moisésra iká iki westíora yonoti ikax ja diossen xobonko teekin ja atibo senenhaai jatian jawen teera iká iki ja ramakaya diossen yoiti jawékibo ikonkon onanna ixon jato onanmati,moisés actuaba en toda la casa de dios como fiel servidor dando a conocer lo que le habían dicho,religioso
jakon akin yoiyabo kopi awe jawen jane wishakin lista de cotejoain,registra su desempeño en la lista de cotejo,educativo
jatian nato mainbi ikaxa jawekeskataxbi já sakerdote iamakeanke nenora moa sakerdotebo jake ja moiséssen esekan yoiai keskáakin dios jawéki bexonkana jato menixonaibo,si se hubiera quedado en la tierra ni siquiera sería sacerdote puesto que son otros designados por la ley los que ofrecen los sacrificios,religioso
"nenora noa benai tsinkixon itan jatobetan axeti westiora nete jakonshaman ikainko jaskaaxon jato yoyo imati kopi,",en las que se busca la organización y el compartir en medio de un clima propicio para promover la participación,educativo
jaskáakin ea rama tanakanwe maton oinnon ventanabo kepenai keskáakin nai kepenxon mato jakon jawékibaon jayákaresnon ixon en mato akinnon,traten después de probarme dice yavé de los ejércitos para ver si les abro las compuertas del cielo o si derramo para ustedes la lluvia bendita hasta la última gota,religioso
jatian jaskati yoyo ikaitian jonibo ikana iki,entonces el pueblo lo empezó a aclamar,religioso
¿jawe jawekibaonmein teekanke ?,¿con qué materiales trabajaron?,educativo
nokokasai jaweki,el propósito,educativo
awe min shinan bokin jawekeskatiki rama axetiainko bakebo iki kai ixon,dirige su observación a lo que ocurre en esta aula y pide que lo comparen con lo que pasa en la suya,educativo
jatian ja bimibo moa tsekatires iketianra jawen ibon ja bimibo moa tsekai akin jato aká iki mostaza beroki yoinmeeta esé,y cuando el grano está maduro se le mete la hoz pues ha llegado el tiempo de la cosecha el grano de mostaza,religioso
oxá besotaanan weníxon ja bake betanbi jawen tita jakiribi israel mainko iotanwe ja maton bake retekasi ipachoaibora moa mawákanke akin,levántate toma contigo al niño y a su madre y regresa a la tierra de israel porque ya han muer to los que querían matar al niño,religioso
jato jaskáakin yoitaanan kimisha nete senen josekan jato kárkel meran xepoa iki,y los metió a todos en la cárcel por tres días,religioso
jainxon jesussen jaonmea onannaibo neskáakin yoiribia iki,jesús dijo también a sus discípulos,religioso
ja min yoiara ikon iki ibó,señor los perritos bajo la mesa comen las migajas que dejan caer los hijos,religioso
jaskaaka oinxonra wetsa jabé teetaibaon akonbireskin masá shinankana iki jaskákinra ja apo boxon keshankana iki,los compañeros testigos de esta escena quedaron muy molestos y fueron a contárselo todo a su señor,religioso
shinankanwe abrahamman jakon jawéki aká iketian diossen ocha ayosma keskáakin oinna ikaxa itixbi ikeana iki já jaskaraton rabiti dios bebon jaskara ikenmabi,abrahán fue justo ante dios y si lo hubiera conseguido por sus obras podría ostentar sus méritos pero no los tiene ante dios,religioso
jatian josekan jawen wetsaboyabi jawen papa betan ikábo yoia iki neskáakin,después dijo josé a sus hermanos y a toda la familia de su padre,religioso
rekenainoa itan pekao ika,la tapa y la contratapa,educativo
eara betuelnin bake ainbo iki ja nakor betan milkanin bake akin jatianra meosoti jawen rekinhain en axonwanke jainxon rabé menexetiribi en sawemawanke,soy hija de batuel el hijo de najor y de milcá entonces le puse el anillo en su nariz y los brazaletes en sus brazos,religioso
jatianra diossen namá meran yoia iki,dios le dijo,religioso
jatianra rutkan wainko kaxon jatíbi jawen benen titan yoia keskábo aká iki,bajó pues a la era e hizo todo lo que su suegra le había indicado,religioso
jatian jawen papan yora moa miinkin senenhataanan josé jawen wetsaboyabi jatíbi jabé boabo moa egiptonko beribakana iki,después de sepultar a su padre josé volvió a egipto con sus hermanos y con todos los que lo habían ido a acompañar en el funeral de su padre,religioso
¿jawekeskaakinki non shinanbo wishati iki jaskaaxon jatixonbi ninkati kopi?,¿cómo podemos escribir el acuerdo para que todosas lo entendamos mejor?,educativo
benbo bake itan ainbo bakebo yokawe ribojankanti westiora tee ati jaton xobonkoxon atibo kopi jaskaaxon jaton rarobaon akanti kopi,pide a los niños y las niñas que dibujen una tarea que realizan en su casa para ayudar a su familia,educativo
yoiwe nato tee atibora netetibi akanti jake,diles que estas tareas las deben realizar diariamente,educativo
ja jonin bakera jonibaon akinkanon ikax joáma iki jara joá iki jonibo akini itan icha jonibo kishpinmanox jato kopi mawati akin jato aká iki bartimeo janeya benche jesussen benxoa,sepan que el hijo del hombre no ha venido para ser servido sino para servir y dar su vida como rescate por una muchedumbre el ciego de jericó,religioso
jakon akin koiranwe jakishaman metsati yoi ika iamax osanticha,pon especial cuidado que sea sobre un hecho curioso o gracioso,educativo
jato jaskáa ja kini xepoa makan oke werankana iki,y quitaron la piedra,religioso
ibó mia keenxon nokon isin ea benxoawe akin,señor si tú quieres puedes limpiarme,religioso
jatian ja sirte janeya mashi benes tsakanaketian rakékin ja toxbatai ankla nenankana iki jaskáaxon niwe bomareskana iki,ante el peligro de encallar en las arenas de sirte soltaron el ancla flotante y nos dejamos arrastrar,religioso
jaskati moa jain joax jaaxa ea iká ochóma jati iki,vivirás en la región de gosén y estarás cerca de mí tú tus hijos y tus nietos con tus rebaños tus animales y todo cuanto posees,religioso
jatíbi ja teeti paxkina keskábo itan iwe jawéki papíya keskábo eki bekanwe en mato tantimanon,vengan a mí los que van cansados llevando pesadas cargas y yo los aliviaré,religioso
ja maton papan aká iki ea yoikin,cuando él decía,religioso
jaskara iketian ja egiptonko jaai katin rakéyamawe,y dios prosiguió yo soy dios el dios de tu padre,religioso
jaskara iketian matonbikaya korosen atankanwe en jato korosen amati ikaxbira en oinna jawe jakonmabi akáma iki akin,tómenlo ustedes y crucifíquenlo pues yo no encuentro motivo para condenarlo,religioso
jaton wishaabo oinpakewe itanribi jato akinwe jato yokapakekin,revisa sus escritos y apóyalos preguntando,educativo
ja esmirnain ikana joi akaibo jato ikinti en imaa joniki nato kirika neskáakin wishaxon bomawe ja rekenainoa itan senentiainoa itan ja retekanabi jirinitonra ea neskáakin yoiimai,escribe al ángel de la iglesia de esmirna así habla el primero y el ultimo el que estuvo muerto y volvió a la vida,religioso
* axeti tsinkitiainxon,* en grupo clase,educativo
jatian mananman icha kochi pii tsamata iken jabo meran jato weimanon ixon ja yoshinbaon jesús yoikana iki,había en ese lugar un gran número de cerdos comiendo en el cerro,religioso
ebé joi akaibó noibataanan mato diossen jakonhaabo iketianra en mato yoiai ja jiriabi jawéki dios meniti keskáakin jatiobi maton yora dios menikanwe jawe ochaomabi itan ja dios keenai keskáshamankin jaskaraxon riki non akonkin dios rabiti,les ruego pues hermanos por la gran ternura de dios que le ofrezcan su propia persona como un sacrificio vivo y santo capaz de agradarle este culto conviene a criaturas que tienen juicio,religioso
jatian jaskarainra onantibires iki ja nato bená sakerdote pikota melkisedek iní keskaribi,todo esto se hace más claro si el sacerdote a semejanza de melquisedec recibe su cargo,religioso
