source,target,dataset
"―meekaya meeka noshitikanakempi aka pankotsiki pintsipatempari piri, nokantanabetimpi pija poijateri piri piñaakero meeka jaoka ikantakari piri ikamake.","―ahora te voy a amarrar a esta casa, acompaña a tu padre. este es el castigo por no haberlo acompañado.",cuentos
"ari yoka otomika ikemantakari iñaabetaka iriri ari antyaroite itsaroake, ikantaka tsiteniriki iñanatakeri ikajemake.",el hijo al anochecer empezó a escuchar que alguien le hablaba. era el alma de su padre. gritó de temor toda la noche.,cuentos
"ari okantakopinita osaite iñaabeti ikajemi ari yotabajiro irontaintsi kitaiteri ari ipeyakoitanaja kitaiteri, ari ikenapake aparoni ashaninka tasorentsi, pajitachari chompitaki yatirimotakeri.","al amanecer el alma se fue perdiendo. de pronto vino un hombre llamado chompitaki, la cucaracha convertida en ser humano,",cuentos
ikantapajiri isanpitapajiri:,y le dijo:,cuentos
―¿paita pantiri aka?,―¿qué haces acá?,cuentos
ari yakanakeri:,el joven contestó:,cuentos
"―tebe kamake apa irokea, ina oshitikakotanakena.",― mi padre se murió y mi madre me amarró a este poste y me dejó.,cuentos
―¿paitakea oshitikantakenpiri piniro?,―¿por qué te amarró tu madre?― interrogó nuevamente chompitaki.,cuentos
ari yakanakeri:,el joven respondió:,cuentos
―teña oshitikakotantanakenari ina. tee nokemisanteroji otianbetana noijaterime apa anta inchatoshiki.,―no le obedecí en seguirle a mi padre al monte.,cuentos
ari ikantiri ashaninka tasorentsi.,el hombre chompitaki le dijo:,cuentos
"―tsameya meeka pibankanakea jenokinta otataroki pankotsiki koraketaintsi piri intinanaje, ari ipasatanakempi.","―esta noche tu padre se levantará y te va a azotar, por eso, debes subir al techo de la casa.",cuentos
"ari otsitenitanaji ikamantakari itinajanaka inchaiki, ipasatakoyetakeri ibankoki taak, taak, ari imajeratanake te iriñanateji ari iyotabajiro kitaiteri.","ciertamente la noche siguiente, el padre se levantó y empezó a azotar la casa. él miraba lo que sucedía desde arriba.",cuentos
ari imajeretanaji ari ikantari yoka jananeki:,chompitaki dijo al joven:,cuentos
"―mekaya meeka pijataje, pantapaje pobanepee, pimpakitapee paitaperika, ari ikantabajiri.",―vete de aquí. haz tu chacra donde vas a vivir.,cuentos
"ari ikantabakeri irosati ikenantanaja yoinijabajiri abotsi, ari ikantanaja jananekika, isokiapaji nanpitsiki ari iñetabajiri ikantajeiti:","el joven se fue, por el camino la gente que lo veía, le preguntaba:",cuentos
―¡ee! ¿janika yoka asháninka? ¿jaoka ipoñajari isampitakeri? ¿jaoka pipoñari?,―¿quién eres? ¿de dónde vienes?,cuentos
ari itakanake:,él contestaba:,cuentos
"―nopoña anta arejiki, ojokanakena ina. isampitiri teñaa ojakantanake nari ina.","vengo de allá; mi madre me dejó. cuando le pregunté, no me explicó nada.",cuentos
kamake apa.,mi padre murió.,cuentos
yoka jananeki ikenketsatapake abisimotakeriri.,el joven contó lo que le había pasado.,cuentos
ikamantakari iriri.,relató lo sucedido con su padre.,cuentos
ari yoka ebankari kametsa yantakero isaikapaji.,entonces el joven vivió bien.,cuentos
yantapa ibanko.,construyó su casa.,cuentos
irobane ipankiti.,hizo su chacra.,cuentos
ari okemakoyetajiri iriniro.,su madre escuchó la noticia.,cuentos
―chora asháninka iroakera.,―dicen que hay un joven.,cuentos
aretapajanchari sabikapojantsiri oka nanpitsiki.,que ha llegado a vivir en este lugar.,cuentos
ari okenketsayetakenero chora aretapainchari.,entonces contaron que había llegado un joven.,cuentos
yora ebankari irinti pankoberenti.,ese joven era trabajador.,cuentos
ari okantiri meeka ari ipankitake isonkoki.,decían que ahora tenía chacra con maíz.,cuentos
ari meeka okemakotajiro iriniro.,la madre escuchó la noticia.,cuentos
koraketakeya aite sonkoki.,que tenía bastante maíz.,cuentos
ari ikantanake iriori:,entonces él dijo:,cuentos
―te nokoajeroji ina.,―no quiero ver a mi madre.,cuentos
aririka ompokake.,cuando ella venga.,cuentos
ari nonkentabajeero.,me vengaré.,cuentos
paitameeka ojokantanajenari.,por lo que me hizo.,cuentos
apanioji oshitikakobetanakena.,porque me dejó amarrado.,cuentos
ikamakenta apa.,cuando murió mi padre.,cuentos
ari opokanake iriniro.,entonces su madre llegó.,cuentos
okanti naye meeka isonkokite notomi.,y dijo que ahora su hijo tenía maíz.,cuentos
ari te oyotakoteaji ikentetabakero.,la madre no sabía lo que iba a pasar.,cuentos
ari yoka ebankaritanake antyaroite ikisaperotanaja.,entonces el joven se enfureció mucho.,cuentos
yobetsikake ichakopite.,preparó su flecha.,cuentos
ikentantearori iriniro.,para matar a su madre.,cuentos
ari aretaka iriniro.,la madre llegó.,cuentos
amakero oshinkiro.,traía maíz.,cuentos
oshinkitaka osokijapake.,lo cargaba en su espalda.,cuentos
―ari ipokaji notomi akabee.,"―ya llegó mi hijo, hija mía.",cuentos
ari yoka otomika isokianake.,entonces el joven se levantó.,cuentos
yajiriki ichakopite.,tomó la flecha.,cuentos
yaitabakaro itsarenkakero ibeane irosati ikentantakaro tsekik.,la lanzó y la atravesó.,cuentos
ari okajemanake:,ella gritó:,cuentos
―¿paitampa poantenari shiampa?,"―¿por qué me haces esto, hijo?",cuentos
tee inkemisanteroji.,no hizo caso.,cuentos
"ikentantakero tsekik, tsekik.","la atravesó “tsekik, tsekik”.",cuentos
ora amabetakari oyantire antyarosante.,la sangre salió en abundancia.,cuentos
aitake oteyatajiro.,muchos lo vieron.,cuentos
ari osheki ashaninka iñajeitakerii.,entonces la gente le dijo:,cuentos
ari ikantajeitiri:,―¿por qué mataste a tu madre?,cuentos
―¿paita pikentantakarori piniro?,entonces él respondió:,cuentos
ari yakanakeri:,―la maté.,cuentos
―nokentantakarori ina.,porque me dejó amarrado en la casa.,cuentos
ojokanakena oshitikakotakena anta pankotsiki nopoñanakanta.,donde vivía.,cuentos
eiro atimitsi ayakoteri itsipapee.,no debemos depender de otros.,cuentos
peerani itimini atiri tee intsameete isaiki inchatoshiki.,antiguamente existía un hombre que no trabajaba y vivía en el monte.,cuentos
aparoni kitaiteri yora atiri ijatake.,un día ese hombre salió.,cuentos
itsipatanakaro ijinapee anta iramanerira icharine inki.,fue con su familia a buscar alimento.,cuentos
irootake iroyari ijatanaje.,por eso se fue.,cuentos
ari yareitimotakari icharine.,llegó donde su pariente.,cuentos
iñapaakero chora irobane aisati ipankitake inki.,vio que tenía comida y chacra.,cuentos
irootake ijatashitantariri ibankoki iramanakerira.,por eso fue a su casa a pedirle.,cuentos
iñaapakeri ainiro aparoni isaiki isaikimotakeri osheki kitaiteri.,se quedó con él muchos días.,cuentos
ari okarati koni kitaiteri ipiaja ibankoki.,después de varios días regresó a su casa.,cuentos
yamananakeri irinkine icharine yora iriori ipabakeri osheki.,llevó comida que su pariente le había dado bastante.,cuentos
ari ipianaja yora atiri.,regresó el hombre.,cuentos
impoiji yaretaja ibankoki.,luego llegó a su casa.,cuentos
tee intsameeteni yaapaakero otashitiro.,pero no supo cuidarlo.,cuentos
irootake yoakari.,se lo comió todo.,cuentos
impoiji otsonkatanaja.,después se acabó.,cuentos
ipiaja aisati isamanteariri icharine.,volvió otra vez a pedirle a su pariente.,cuentos
ari yora iriori ikantiri:,entonces su pariente le dijo:,cuentos
―¿jaoka poakerori nopabakempiri chapinki?,―¿dónde está lo que te di antes?,cuentos
yora iriori atiri ikanti:,el hombre respondió:,cuentos
―ora nobane antyaro oni.,―mi chacra es grande.,cuentos
meeka pimpakena osheki.,ahora dame bastante.,cuentos
ari ontime nashi noipiajempi pipakenari.,luego te devolveré lo que me das.,cuentos
yoara icharine ipabajiri aisati.,entonces su pariente le dio otra vez.,cuentos
ari ipianaja atiri.,el hombre regresó.,cuentos
aisati itashitiro.,otra vez se acabó.,cuentos
iro ipiabetanaja ikamamitajerime.,volvió a pedir nuevamente.,cuentos
aisati yora icharine ishiretanaja.,entonces su pariente se molestó.,cuentos
―¿jaoka yoakerori nopakeri osheki?,―¿dónde está lo que te di en abundancia?,cuentos
meeka impiajerika eiro nopiriritsi.,"ahora, aunque regreses, no te daré nada.",cuentos
impoiniji ipiaja atiri.,después el hombre regresó.,cuentos
aisati iramanajerime yora icharine.,otra vez fue a pedir a su pariente.,cuentos
tee imperi.,pero éste no quiso.,cuentos
impoini ikenketsataakeri.,entonces insistió.,cuentos
ari yoamentsakeri.,le rogó.,cuentos
irosati ipabajiri.,hasta que le dio.,cuentos
meeka ijataji atiri.,luego el hombre se fue.,cuentos
yora icharine yoijatanakeri.,su pariente lo siguió.,cuentos
otishitake irootake nijantariri.,vio lo que hacía.,cuentos
tee impankite.,no trabajaba.,cuentos
irointi yoaro.,solo comía.,cuentos
meeka ikisanaka icharine.,entonces el pariente se enojó.,cuentos
ikisakeri atiri.,se molestó con el hombre.,cuentos
―meeka pamatabitakena abinti peranti.,"―ahora me has engañado, eres un perezoso.",cuentos
meka pinpeempa keniri kari pitsameetanta.,no trabajas.,cuentos
ari kisapanitiri ipianaja icharine.,molesto regresó el pariente.,cuentos
yora atiri yoashiretanaka.,el hombre se entristeció.,cuentos
irootake yataitantanakari inchatoki antyaro.,por eso se fue al monte.,cuentos
maba kitaiteri ipiaja icharine yamenanontiri.,después de tres días el pariente fue a buscarlo.,cuentos
tee iñapajeri atiri.,pero no lo encontró.,cuentos
irrinti iñaapake keniri.,en su lugar vio un perezoso.,cuentos
iriintaka peanankichari atiri.,ese se convirtió en el hombre.,cuentos
iriotake añaantariri meeka keniri tee intsameete irinti peranti.,por eso ahora el perezoso no trabaja.,cuentos
ari okarati,así termina,cuentos
ora shina,el agua,cuentos
otimantanakari nija.,el agua escaseaba.,cuentos
aparoni kitaiteri aparoni atiri antyashipari.,un día un hombre vivía en el monte.,cuentos
isabikini anta antamiki.,vivía en el bosque.,cuentos
kari otiminta nija irashi itsipapee.,no tenía agua en su casa.,cuentos
itsipatarini aparoni icharine.,tenía un pariente.,cuentos
yora atiri tee iroinijanterori jaoka yaironiri nija irakairirini icharine.,ese hombre no sabía de dónde traía el agua su pariente.,cuentos
yora icharine atiri ijatini yantabeti irobaneki.,el pariente trabajaba en su chacra.,cuentos
yora isari ipeani maaroni kitaiteripee.,mientras el otro pasaba todo el día sin hacer nada.,cuentos
yora icharine yaretanaja ibankoki.,el pariente regresaba a su casa.,cuentos
iñapakero osheki nija aaja iyobititeki.,y tenía bastante agua en su cántaro.,cuentos
aparoni kitaiteri yora jananeki isampitaka:,un día el joven preguntó:,cuentos
―¿jaokampa yairori nocharine nija?,―¿de dónde trae el agua mi pariente?,cuentos
jentsite nosampiteri ikantiri:,entonces le preguntó y dijo:,cuentos
¿jaokampa pairori oka nija obakoyetainchari kobitikika?,¿de dónde viene esta agua que aparece en el cántaro?,cuentos
ari yakanakeri icharine ikantiri:,el pariente respondió y dijo:,cuentos
―isari eriro pisampitana.,―no me preguntes.,cuentos
aritake piñaakero koajika.,ya lo verás después.,cuentos
ari ikantaka icharine ibashiretanaka.,entonces el pariente se molestó.,cuentos
iro kantaincha yora jananeki ipiatsatakari icharine.,pero el joven volvió a pedirle.,cuentos
itiankabetajari anta irobaneki ikantiri:,fue a donde trabajaba y le dijo:,cuentos
―meeka pipiatsatakena.,―ahora me vienes a pedir.,cuentos
¿eiromeka nopajimpitsi oanarontsi aisati pimere?,¿acaso crees que te voy a dar comida otra vez?,cuentos
¿kiariompa chaine?,¿es así?,cuentos
yakanakeri icharine ikantiri:,el pariente respondió y dijo:,cuentos
―jee kiariotake.,"―sí, así es.",cuentos
iro ikantaicha yora atiri imantsiatanake osheki kitaiteri.,entonces el hombre se quedó muchos días.,cuentos
yora atiri ikoanake nija.,el hombre empezó a necesitar agua.,cuentos
iro kantaincha tee añeroiji nija anta ibankoki.,pero no encontraba agua en su casa.,cuentos
yora atiri ikantiri icharine:,entonces el hombre dijo a su pariente:,cuentos
―meeka pijate pajitena nija.,―ahora ve a traerme agua.,cuentos
yakanake isari ikantiri:,el pariente respondió:,cuentos
―eiro nomatirotsi jampakea.,―no puedo hacerlo.,cuentos
tee poinijajenaro jaoka pajirori nija.,no sé de dónde sacar el agua.,cuentos
irointi nopempi notsini.,solo te daré un poco de la mía.,cuentos
"―jee, kametsatake.","―sí, está bien.",cuentos
pimpenaro pitsini.,dame un poco de tu agua.,cuentos
ikanti charine.,dijo el pariente.,cuentos
―meeka ipakeri itsini irabakero.,―ahora le dio un poco para que lo tome.,cuentos
ari ikaratakotanaji yora atiri.,entonces el hombre terminó.,cuentos
ikantiri icharine:,dijo a su pariente:,cuentos
―karatakotanajana chaine.,―ya estoy satisfecho.,cuentos
pijate meeka.,ahora ve.,cuentos
pajate kaniri anta obantsiki.,ve a buscar al monte en el barranco.,cuentos
"―jee, ari.","―sí, está bien.",cuentos
ikanti isari.,dijo el pariente.,cuentos
iro kantaincha ijabetaja iñapatiri maniti antyari anta abotsiki.,pero un día encontró un lugar húmedo en el camino.,cuentos
ari yatsikakeri iroosati yobamantakari.,entonces lo golpeó hasta abrirlo.,cuentos
yoyabetajari yora atiri charine tee ipiajeji anta ibankoki.,"luego regresó, pero su pariente no volvió a la casa.",cuentos
yora atiri ikisanaka ikanti:,el hombre se enojó y dijo:,cuentos
―meeka shiaja nocharine otimatiye mamenajanteri.,―ahora mi pariente debe estar escondiendo algo.,cuentos
ari ijatake.,entonces se fue.,cuentos
yanake ishachane ichakitantyarori ora shiaja.,tomó su herramienta para cavar.,cuentos
"ari yanitanake tik, tik, tik.","y empezó a golpear: tik, tik, tik.",cuentos
yaretapaka shinaki.,hasta llegar al suelo húmedo.,cuentos
ari iñapakero pirijatake.,entonces vio que brotaba.,cuentos
pariyayetanake oshipee.,el agua empezó a salir.,cuentos
ari itoapakero.,entonces se abrió.,cuentos
irootake peananinchari antyaro nijapee.,y apareció mucha agua.,cuentos
iro ojempeki nijatenipeejaniki oshipee.,el agua comenzó a salir en abundancia.,cuentos
opeanaka shimapee.,se formaron corrientes de agua.,cuentos
irimeka atiri tee ayoteji jaoka ikenanakeri.,hasta ahora no se sabe qué pasó con ese hombre.,cuentos
otsipapeki kenketsarentsi okantakotiri.,pero en otro relato se dice.,cuentos
iritake peinanchari koshoshika.,que él se convirtió en sapo.,cuentos
tempa iritake kishokanakerori ora nija.,y que él fue quien hizo salir el agua.,cuentos
eiro ashiresanotari atiripee kaari añayetiri yamatabite.,no confiar en las personas desconocidas porque aveces las apariencias engañan.,cuentos
peerani timatsini pijiri ipeani ashaninka aisati atiri itimi ironabaneki.,"antiguamente, el murciélago era un ser humano que vivía en su chacra.",cuentos
aparoni kitaiteri yora pijiri ipokake obankoki tsinane ikantapakeri iri:,"un día el murciélago visitó la casa de una mujer, y dijo al padre de ésta:",cuentos
"―pimpenaro pishinto, ari obapakea ibatsa kemari, samani.","―dame tu hija, comerás carne de sachavaca y majás.",cuentos
"iro kantaincha ora tsinane tee okoyeriji ayeri pijiri yashereakonatakeri iri pipenaro pishinto irosati okoantanaka yanakero ibankoki oñaapairi ibatsa yora ikantakeri pijiri, tee itsaiyabeteaji obanaka.","la mujer no quería casarse, pero al ver la insistencia del murciélago, se animó. el murciélago la tomó y la llevó a su casa. la mujer vio bastante carne, se dio cuenta que no engañaba, era cierto.",cuentos
aparoni kitaiteri ikantanakero:,un día el murciélago le dijo a su esposa:,cuentos
"―poyajenaka, eiro pitsarobitsi, ari nopiaje kapichaji kitaiteri.","―me esperas acá, no tengas miedo, voy a regresar temprano.",cuentos
"ora tsinane omanake kaametsa, okitaitemanaji yaretaja pijiri yamake maniro, oshintsitapakero tsitsi, okotakeri, okantabetari:","la mujer durmió y al día siguiente el señor murciélago trajo venado, arregló la leña, prendió la candela, preparó la comida, y dijo a su mujer:",cuentos
―jeri poya abirori.,"―sírvete, come bien para que duermas bien.",cuentos
maba tsimeripee,las tres aves,cuentos
"amenayeteri yora tsimeripee, sabikayetatsiri inchatoshiki, ikantayeeta aisati isabikajeiti.","apreciemos los pajaritos, habitates del bosque, sus características y comportamientos.",cuentos
tsame ankenkitsatakotero iyenkitsari maba shirampari ipeakeri tsimeripaye.,contaré sobre tres hombres que se convirtieron en pajaritos.,cuentos
intanakarori iritake aparoni ebankari paitachari shipitiriti.,comienzo con el joven que se llamaba shipiriti.,cuentos
kisachari osheki erorika ishineitiri iroyari tsitopaye.,"era un hombre muy enojón, que se enfurecía cuando no comía moscas.",cuentos
chero iritake isheritonampiti shipiriti.,"chero era su compañero, amigo de shipiriti.",cuentos
aritaka ikantapintatya ikajemi:,siempre era bullicioso y cantaba:,cuentos
tsonkirika osheki ikisanentiri cheeroka.,el picaflor renegón se enojaba mucho con chero.,cuentos
tema kaariperori inati yobari paitarikapaye pichaayetatsiri.,porque era malo y comía cualquier cosa.,cuentos
ikenkitsati aparoni shinkirontsiki.,se cuenta que en un tiempo.,cuentos
shipiriti ipoñaaka tsonkirika.,shipiriti se encontró con el picaflor.,cuentos
ikenkishiririaka ishinkitakeri cheero opoñaaka iranteri.,y comenzaron a pelear.,cuentos
pinshekireri ishi itaki irojati inkaarainatantakari.,se enfrentaron hasta hacerse daño.,cuentos
ari yontaiyokerinira cheerora yaretapaka nabireri.,entonces siguieron peleando.,cuentos
ari ipeokeri mabaroiteki shiramparipaye tsimeripaye.,hasta que fueron transformados en pájaros.,cuentos
obariri tsito ipiakeri aparoni shipiti.,"el primero, que come moscas, se convirtió en shipiti.",cuentos
kaari shintsitatsine ipeakaeri tsonkiri.,"el segundo, que no tiene fuerza, se convirtió en tsonkiri.",cuentos
chero ipeokeri ishaninkatariri tisonipaye.,"y el tercero se convirtió en chero, parecido a un gallinazo.",cuentos
irosati kitaiterika cheeroko otimi ito karatsempe.,así hasta hoy existen esos pájaros.,cuentos
mabaroiteki tsimeripayeka isaikashiyeta:,y viven en distintos lugares:,cuentos
tsonkiripaye ibetsikiro imenkoshi yojiro omamporote.,los tsonkiri hacen sus nidos con hojas de plantas.,cuentos
ojempeki otsipanashite inchatopaye.,entre los árboles del monte.,cuentos
irimpa shipiti ibetsikero imenkoki otsonkashiyeta inchatoshipaye.,los shipiti hacen sus nidos en las ramas donde hay avispas.,cuentos
isaikayeti sanipaye.,viven en el monte.,cuentos
irimpa cheero onkatya isaikanta omoroki isaiki imperata otishiki.,y el chero vive en huecos de cerros o barrancos.,cuentos
yora ebankaripee ashaninkapee kobintsatanteari iyotero kamentsayetatsiri.,un joven desea tener esposa.,cuentos
ikobintsatantyari eiro yakantaro otashe ijina.,y busca una mujer para casarse.,cuentos
aparo ashaninka ebankari ikoanake ijina yanibeti inchatomashiki.,un joven ashaninka decidió buscar esposa en el monte.,cuentos
ari yaretapakaro aparo pankotsi.,entonces llegó a una casa.,cuentos
iñeajeitapakeri yora atiri saikajeitatsiri pankotsiki aisati maaroni.,vio que muchas personas vivían allí.,cuentos
ikarajetiri ari ibetsajetapakari maaroni saikajeitatsiri.,saludó a todos los que estaban en la casa.,cuentos
ari ikantiri:,y dijo:,cuentos
―iro nopokanta nokoake nojina.,―he venido porque busco esposa.,cuentos
ari yakanakeri aparo atiri:,entonces uno de los presentes respondió:,cuentos
―chora noshinto.,―yo tengo una hija.,cuentos
ari yanakeri ibankoki.,y lo llevó a su casa.,cuentos
ikenketsatakaeri iripanteariri irishinto.,para conversar con su hija y entregársela.,cuentos
ari ikantiri shirampari:,entonces el joven dijo:,cuentos
"―pipenaro pishinto, nanakerota nabankoki.","―entrégame a tu hija, la llevaré a mi casa.",cuentos
ari okantiri tsinane:,la mujer respondió:,cuentos
―eiro paitanarotsi noshinto parikoti.,―no quiero que mi hija se vaya lejos.,cuentos
pikoakeiorinka pamabakenarita poshiniri.,"si la quieres, debes traerme comida.",cuentos
ari ipiaja.,entonces el joven regresó.,cuentos
yamakero shima yamenaitinirori inchabioki amaritoki yora shitibari.,llevó pescado podrido.,cuentos
ari ipabetapakaro tsinane.,la mujer lo recibió.,cuentos
te abakotabakeriji.,pero no lo aceptó.,cuentos
ari ipianaja ibankoki yoashiretapaka.,el joven regresó triste a su casa.,cuentos
ari yatetapaka iraniri cherepito yamake iyentane shima janari ipapakerori tsinane.,luego su cuñado martín pescador llevó pescado fresco a la señorita.,cuentos
ari abisanake koni kitaiteri.,pasaron algunos días.,cuentos
ipiaja shirampari yamenabetapajero tsinane.,el joven regresó a ver a la señorita.,cuentos
te irineapajeroji irinti ineapaji irikonkiri ari isampitiri:,"pero no la encontró, solo vio a su padre y le preguntó:",cuentos
―¿jaokampa pishinto?,―¿dónde está tu hija?,cuentos
"―te aneajero, kamake oamenpeakari shima shitibari.",―ya se ha muerto por comer pescado podrido.,cuentos
ari yoashiretaka shirampari.,el joven se entristeció mucho.,cuentos
okantitari irikonkiri:,entonces dijo a su suegro:,cuentos
―tsame anta pitijakerota.,―vamos al lugar donde la enterraste.,cuentos
ari yaretapaka ikantitari:,entonces llegaron y dijo:,cuentos
―tsame akekakotajero.,―vamos a sacarla.,cuentos
ari yakanakeri ikantiri eiro amatorotsi.,pero él respondió que no podían hacerlo.,cuentos
irointi parenti ponkiti nijakotakero.,porque solo era un tronco de plátano.,cuentos
ora tsinane yanakero cherepito.,la señorita estaba con martín pescador.,cuentos
ari yaretanaja ibankoki irikonkiri.,entonces regresaron a la casa con el suegro.,cuentos
―meeka pametena.,―ahora córtame el cabello.,cuentos
ari yametakeri maaroni iishi.,entonces le cortó todo el cabello.,cuentos
―meeka notamporote tin tin tin.,―ahora toco el tambor: tin tin tin.,cuentos
ari asaikini ibankoki jenoki.,entonces estaba en la casa arriba.,cuentos
yaankakotanake ipeantanakeari tisoni.,y se fue transformando en gallinazo.,cuentos
ayotero okarati antayeteri.,ser prudente en las acciones.,cuentos
peerani yatiribeitani tsikonti.,"antiguamente, el pájaro carpintero se convertía en ser humano.",cuentos
"aparoni kitaiteri atiri ijati ikenabeti ari meka ikantanaka itonkanake tonkariki, ari isaikapai ikemantakari tsikonti itsekakoti tsirompe: ton, ton, ton. ari ikemisantaperotiri ikemantakari yapitajiro arimeka ikanti:","un día un hombre subió a un cerro para montear. se detuvo a descansar y escuchó al carpintero que cortaba un árbol “ton, ton, ton”. el hombre al escuchar los golpes dijo:",cuentos
"¿janikampa ashaninkaka?ari meeka ikantashitanakari: matse, matse, matse.","―¿quién viene? voy a ver despacio “matse, matse, matse”.",cuentos
ari iñapatiri ikantapairi:,al ver al carpintero le dijo:,cuentos
"―¿ani, paita pantiri?","―hola, cuñado. ¿qué haces?",cuentos
"ari meeka tsikonti, isabikake jenoki tee ishebatyaji, ari meka yapitajiri ikantiri:","el carpintero que estaba arriba del árbol y no podía bajar, contestó preguntando:",cuentos
nameni tsirompe iñantapakari.,entonces tsirompe lo vio.,cuentos
oshabiji osheki tsirompe.,había mucha gente.,cuentos
ari ikantiri tsikonti:,entonces tsikonti le dijo:,cuentos
―ani ¿jaoka pijateri?,"―oye, ¿a dónde vas?",cuentos
ari yankanakeri:,él respondió:,cuentos
ari meeka ikantiri:,entonces le dijo:,cuentos
―panakeketi pimpaperori pijina.,―ve y trae a tu mujer.,cuentos
ari meeka atiri yaake yakipatakee osheki.,entonces el hombre fue y se preparó bastante.,cuentos
ari ikantiri:,y le dijo:,cuentos
"―aribee, iro nojate ani.","―está bien, ahora voy.",cuentos
―¡jaa!― yankeanakeri tsikonti.,―¡jaa!― respondió tsikonti.,cuentos
ari meeka ipokaji iñapajiro ijina.,entonces fue y vio a su mujer.,cuentos
ari meka osampitiri:,entonces ella le preguntó:,cuentos
―¿jaokacha pakeriri?,―¿a dónde fuiste?,cuentos
ari ikantiro:,él le respondió:,cuentos
―aitakete tonkarikinta.,―fui por allá lejos.,cuentos
ari meeka ikanti:,entonces dijo:,cuentos
ari nompiyanake nontsonkaiterita.,―ahora regresaré para terminarlo.,cuentos
ari okantiri ijina:,entonces su mujer le dijo:,cuentos
―aisati narori,―yo también iré,cuentos
ari ikantiro:,entonces le dijo:,cuentos
―eiro poijatana.,―no me sigas.,cuentos
nokoi nojate apaniro.,quiero ir solo.,cuentos
ari meka tee onkemisanterijiri.,pero ella no le obedeció.,cuentos
ari ikantanajiro:,entonces él volvió a decirle:,cuentos
ari nompiaje.,yo regresaré.,cuentos
meeka tee onkeme oijatapitanakeri itapiki.,pero ella no escuchó y lo siguió en silencio.,cuentos
meeka yora atiri iñapajiri tsikonti ikantapajiri:,entonces el hombre encontró a tsikonti y le dijo:,cuentos
"―ari, anii.",―aquí estoy.,cuentos
―¡jee!― yankabajiri tsikonti.,―¡sí!― respondió tsikonti.,cuentos
ari meeka okemakeri ijina.,entonces la mujer escuchó.,cuentos
iñanabeti osampita apanioji:,y preguntó ella sola:,cuentos
―¿janikampa iñanatiri?,―¿a quién está hablando?,cuentos
ari meka okantanaka:,entonces se oyó:,cuentos
ari okantapari:,y ella dijo:,cuentos
―irompaa kaari pamantana.,―por eso no debes matarme.,cuentos
ari meeka itsaobanake tsikonti.,entonces tsikonti se transformó.,cuentos
ari meka ikantiri:,entonces le dijo:,cuentos
ani nokantakempi eiro pikamanti.,"oye, ya te dije que no me mates.",cuentos
ari ikisanaka ikantiri:,entonces se enojó y dijo:,cuentos
eiroya meka piñajana.,ahora ya no me verás.,cuentos
