source,target,dataset
jainra en mia boai,te llevaré allí.,flashcards
wanoa riki noa,estamos casados.,flashcards
mia ratekashamaira ea ike,no quería asustarte.,flashcards
jatora jatikaxbi teekanai,ellos trabajan juntos.,flashcards
¿ja akinkasirin mia?,¿estás pensando ayudarles?,flashcards
bena riki,es nuevo.,flashcards
nato xetekanwe,huelan esto.,flashcards
miara ayamakanke,estás a salvo.,flashcards
papara jakiribi baneke xobonko.,papá volvió a casa.,flashcards
janra mesko jawekibo yoiyai,eso explica mucho.,flashcards
jara jaskaakin atiya iki,ella tiene estilo.,flashcards
tomanra jato akinai,tom es un salvavidas.,flashcards
toman ken riki bewati,tom adora cantar.,flashcards
miara tantiti maxkake,necesitas relajarte.,flashcards
eara xateke,me corté.,flashcards
¿enra ake winokin?,¿yo aprobé?,flashcards
eara rateke,me sorprendió.,flashcards
jatibira jabakanke,escaparon todos.,flashcards
¿jawe mia kenai?,¿qué querés?,flashcards
shokocha tantinon iwe,relajémonos un poco.,flashcards
ja yoyo ika jawekira ike metsaira,su discurso nos conmovió.,flashcards
¡jakon paskoa winowe!,¡feliz pascua!,flashcards
minra oinai,la verás.,flashcards
eara sereya ike,tengo tiempo.,flashcards
washitimara iwanke,no estaba celoso.,flashcards
enra mia jansoai onanke,sé que mientes.,flashcards
jakonax yakakanwe,pónganse cómodos.,flashcards
¿bakish mia teeibata?,¿trabajaste ayer?,flashcards
¿nenonxon en joto tsekati atipana?,¿puedo hacer fotos aquí?,flashcards
¿en mia ikoti atipana?,¿puedo abrazarte?,flashcards
tomanra kafe yokareske,tom pidió más café.,flashcards
¿jawe kopi ransairin mia?,¿por qué estás bailando?,flashcards
miara keni kai,lo necesitarás.,flashcards
nokon kenma riki netexon raroti akanai,detesto las fiestas sorpresa.,flashcards
jaskatimara ike,no debería haberlo hecho.,flashcards
manota riki mia,me estás perdiendo.,flashcards
enra mia paranti atipanyamake,no puedo mentirte.,flashcards
osanti riki ja,es divertido.,flashcards
¿mia karoya iki?,¿tienes coche?,flashcards
¿mia westiora joiya iki?,¿tienes un lema?,flashcards
jawebira winoyamake,no pasó nada.,flashcards
jainra jawebi yamake,ellos están vacíos.,flashcards
¿min oinkasai?,¿quieres echar un vistazo?,flashcards
westiora sere min ea meniti atipana?,¿podrías esperar un segundo?,flashcards
¿francesnin mia yoyo ikai?,¿hablas francés?,flashcards
enra yobin piai,como fruta.,flashcards
eara onankashamawanke,no quería saber.,flashcards
jakoinra teera maton ake,hicieron un buen trabajo.,flashcards
bakishra ea mibe yoyo ikai,hablaré contigo mañana.,flashcards
jawen jakoma jawekira janbi aka,su error fue voluntario.,flashcards
jakoinra joni riki ea,soy un buen tipo.,flashcards
ishton kaa iki,caminaba a paso rápido.,flashcards
meeka impiajerika eiro nopiriritsi.,"ahora, aunque regreses, no te daré nada.",cuentos
¿jawekopi mia nato kenai?,¿por qué quieres esto?,flashcards
xoa riki ea,soy gorda.,flashcards
wetsakeskaakin aribati manatara ea ike,sólo quería otra oportunidad.,flashcards
jakoma shinanyacha,somos egoístas.,flashcards
ishton kai riki ea,estoy apurado.,flashcards
¿jaweti baritiyarin mia?,¿qué edad tienes?,flashcards
jaya oxati sawewe,ponte pijama.,flashcards
¡kikin jakon riki ea!,¡soy feliz!,flashcards
atiya riki noa,tenemos ventaja.,flashcards
irointi yoaro.,solo comía.,cuentos
tomra jakomacha iwanke,tom se veía desanimado.,flashcards
¿bakishki mia xabaya iki?,¿tienes libre mañana?,flashcards
ari ikantajeitiri:,―¿por qué mataste a tu madre?,cuentos
wishai riki ea,soy escritor.,flashcards
yantainra nokoke,llegó más bien tarde.,flashcards
en ribira onanyamake,yo tampoco sé.,flashcards
westiora jakoinra esera ea kenai,necesito un buen consejo.,flashcards
enra nato jeen ati atipanyamake,no puedo aceptar esto.,flashcards
bakish tsinkitira ikanai,reunámonos mañana.,flashcards
amenora ike,fue ameno.,flashcards
¿mia axeai bakeranon iki?,¿eres estudiante?,flashcards
eara bewareske,yo seguí cantando.,flashcards
osanti jawekires riki,es sólo una broma.,flashcards
¿nato xepotiki en xepenti atipana?,¿puede abrir esta puerta?,flashcards
osanira ea iwanke,me estaba riendo.,flashcards
yanake ishachane ichakitantyarori ora shiaja.,tomó su herramienta para cavar.,cuentos
¿miaki ramabi paxkina iki?,¿estás ahora cansado?,flashcards
ikamantakari iriri.,relató lo sucedido con su padre.,cuentos
ea peokowanke bewai,empiece a cantar.,flashcards
jara en bikasai,quisiera comprar aquel.,flashcards
yamera kikini wei bewanke,anoche llovió mucho.,flashcards
¿nato min biti atipana?,¿puedes coger esto?,flashcards
tomra yamekiri joai,tom llega temprano.,flashcards
minra ea janso ake,me mentiste.,flashcards
¿jaweki winota?,¿qué ocurrió?,flashcards
bakishra oi bebirati iki,quizás llueva mañana.,flashcards
jabaonra akanai,ellos atacarán.,flashcards
jaskara winotaibora en onanke,sé lo que pasa.,flashcards
wanoa riki ea,soy casado.,flashcards
jaskara jisa riki,parece probable.,flashcards
anorexico riki ea,soy anoréxico.,flashcards
enra nokon tee onanke,yo sé mi trabajo.,flashcards
bata jaweki tanawe,prueba la tarta.,flashcards
enra pan píai,como pan.,flashcards
pontebi kawe,sigue recto.,flashcards
brasileña riki,es brasileña.,flashcards
¡neno riki noa!,¡aquí estamos!,flashcards
bakebaon nete riki,es navidad.,flashcards
paxkinara ikeanke,estaría devastado.,flashcards
irimpa shipiti ibetsikero imenkoki otsonkashiyeta inchatoshipaye.,los shipiti hacen sus nidos en las ramas donde hay avispas.,cuentos
"mia jakomein iki, tom","estás en peligro, tom.",flashcards
¿jain oxatiki axonkanti ja?,¿debería asear mi cuarto?,flashcards
atiresa ikai,estará listo.,flashcards
¿alemanianxon kenairin mia?,¿estás llamando desde alemania?,flashcards
¡eabichora ikasai!,¡quiero estar sola!,flashcards
enra akamapari iki,todavía no lo hice.,flashcards
oinon ea yoita,cuéntame más.,flashcards
¿jaweti teetaiboyarin mia?,¿cuántos empleados tienes?,flashcards
¿jawe joneirin mia?,¿qué estás escondiendo?,flashcards
jakoankira akanai,se maneja bien.,flashcards
tee akai jisabires mia,pareces ocupado.,flashcards
¿mia westiora kafe kenai?,¿puedo traerte un café?,flashcards
eara eabicho iti jake,tengo que ser libre.,flashcards
ebera ikanai,están conmigo.,flashcards
¿oaboanra jugo bike?,¿compraron ellos el jugo?,flashcards
nonra manomake,los perdimos.,flashcards
nato yomara ea jati atipanke.,puedo vivir sin esto.,flashcards
rambira jakon ikai,estará listo pronto.,flashcards
¿noaki onana?,¿acaso nos conocemos?,flashcards
¡jakon axon awe!,¡buen provecho!,flashcards
fideo pii riki ea,estoy comiendo fideos.,flashcards
eara yatanwanke,me secuestraron.,flashcards
neno yakawe,sentate ahí.,flashcards
ikon jisama riki,no suena cierto.,flashcards
eabicho riki,todavía estoy sola.,flashcards
bena jawekibora en yokake,pedí muebles nuevos.,flashcards
noa yoireswe,dígannos más.,flashcards
janra niaibo ninkawanke,él escuchó pasos.,flashcards
westiora yoyo ati kirika yoyo awe,leeré un libro.,flashcards
papara teeti iki,papá está trabajando.,flashcards
¿xobonrin mia?,¿estás en casa?,flashcards
ramara ea onisa iki,ahora estoy triste.,flashcards
¿jaweboki toman keomai?,¿qué instrumentos toca tom?,flashcards
lunesra tom nokoibake,tom llegó el lunes.,flashcards
namira en xoike,hice carne asada.,flashcards
jakoma jawekibora winotai,los accidentes pasan.,flashcards
tomasninra ake,tomás condujo.,flashcards
isinima riki mia,no estás enferma.,flashcards
enra mia yoiti iwanke,debería habértelo contado.,flashcards
"―aribee, iro nojate ani.","―está bien, ahora voy.",cuentos
min kenki ika,le gustó.,flashcards
toman ninkata,tom escuchó.,flashcards
naman itan xoa riki,es bajo y gordo.,flashcards
natonra icha akinai,esto ayuda mucho.,flashcards
¿en mia betsoati atipana?,¿puedo besarte?,flashcards
eiro aretakainpitsi kmentsa.,no conducen a buen fin.,cuentos
¿ja min ointi atipana?,¿puedes verificar eso?,flashcards
tomriki nokon papa.,tom es mi papá.,flashcards
tsonbira ninkayamai,nadie lo entiende.,flashcards
jatibira bechiwankanke,todos vitorearon.,flashcards
en shinanara ikon ibake,mi instinto era cierto.,flashcards
¿mia jan bewa ninkatiya iki?,¿tienes audífonos?,flashcards
minki ea akinti atipana,me podrías ayudar.,flashcards
¡jawe tsinki!,¡qué equipo!,flashcards
eara xepoke,me encerré.,flashcards
ja pekaora nokoke,él llegó poco después.,flashcards
jatibira jawankanke,todos sobrevivieron.,flashcards
¿jawe tsiniti tsinirin mia?,¿qué juego estás jugando?,flashcards
¿jaweranoki mia yame iwana?,¿dónde estabas anoche?,flashcards
eara joribakasai,necesito regresar.,flashcards
noabora ja isabiresiki.,nosotros somos muy similares.,flashcards
natora ikai,eso funciona.,flashcards
¿jaweki manai?,¿qué espera?,flashcards
¿jawekeskaakinki ati yoiya?,¿dijeron cómo?,flashcards
miabichoma riki,no estás sola.,flashcards
enra jan joi ninkati atipanke,puedo comprender su idioma.,flashcards
enra meratanike,encontré algo.,flashcards
enra osanke,le burlé.,flashcards
isinai jisa riki ea,me siento enfermo.,flashcards
sinata riki ea,estoy enojado.,flashcards
kikin non ken riki nato ikana,nos encanta esta zona.,flashcards
¿jawe mia ati kenai?,¿qué quieres que haga?,flashcards
noara osanti yoi iki,estábamos bromeando.,flashcards
¿namatirin ea?,¿estoy soñando?,flashcards
enra mia meniti atipanyamake,no puedo dártelos.,flashcards
jainmara ikanke,estaban equivocados.,flashcards
¿mato moa ika?,¿están listos?,flashcards
eara ja jain ika shinanbenoke,olvidé su dirección.,flashcards
¿enki yoyo ati ja?,¿tengo que estudiar?,flashcards
¿jawekeskaaxonki min nato benxoati atipana?,¿cómo pretendes arreglar esto?,flashcards
"nenora noa jakon iki, ¿ikon?","estamos seguros aquí, ¿cierto?",flashcards
riosanresa onanke,sólo dios lo sabe.,flashcards
jatibitian osanwe,siempre ríe.,flashcards
onsa nete ika iki,eran tiempos peligrosos.,flashcards
noara rabekax teeti jake,necesitáis trabajar juntas.,flashcards
jakonax jai riki noa,estamos enamorados.,flashcards
miabichorin ¿ikon?,todavía estás soltero ¿verdad?,flashcards
¿jaweki winotai?,¿sucede algo?,flashcards
enra ja ati atipanyamake.,yo puedo hacer eso.,flashcards
¿karesti mia kenai?,¿quieres que continue?,flashcards
eisenhowerninra jawen joi seneanke,eisenhower cumplió su promesa.,flashcards
jakon ati riki,podría mejorarse.,flashcards
iriintaka peanankichari atiri.,ese se convirtió en el hombre.,cuentos
barin akatonin awe,usa energía solar.,flashcards
¿jaweki ori winota?,¿qué pasó allá?,flashcards
joinwe chicho akin,inspira profundamente.,flashcards
eara maxkoira iki,soy demasiado bajo.,flashcards
jain awe,póngalo allí.,flashcards
tomanra piibake,tom comió.,flashcards
ishtonres akanara ibake,fueron elegidos al azar.,flashcards
¡paenaki mia ibata!,¡estás borracho!,flashcards
eara shinanbenoibake ja yoiyabo,olvide que dije eso.,flashcards
nonra onanke min aka jaweki,sabemos lo que hiciste.,flashcards
¿eara oinkas ibakanke?,¿querían verme?,flashcards
¿en mia bakish ointi atipana?,¿puedo verte mañana?,flashcards
enra jakomaake,fue mi error.,flashcards
¿jaweranorin min poi?,¿dónde está vuestra hermana?,flashcards
jakira ea kikini axeke,aprendí mucho de él.,flashcards
ja jisa rabebires,somos gemelos.,flashcards
jatixonbira manaibake,todos esperaron.,flashcards
westiora wishara en yoyo awanke,leí una carta.,flashcards
¿jawerano mia kaa?,¿adónde fuiste?,flashcards
noara kananreskasai,todavía queremos ganar.,flashcards
enra mia noike,te amo.,flashcards
jishtena iwe,mantente despierto.,flashcards
pajate kaniri anta obantsiki.,ve a buscar al monte en el barranco.,cuentos
eara baneti atipanyamake.,no me puedo quedar.,flashcards
¿min onanke mia jan kenai?,¿sabe que le quieres?,flashcards
netebora ibake chorish,los tiempos eran duros.,flashcards
jan mapotira en maroai,vendo paraguas.,flashcards
westiora yoikasai jawekira en jeneti atipanke,puedo tomar un recado.,flashcards
enra manayamake,no esperé.,flashcards
noara wetsakobo iki,somos hermanos.,flashcards
tom betanra ea yoyo iyamake,no hablé con tom.,flashcards
jakoma riki ea,estoy loco.,flashcards
ea ochoma banewe,quédate cerca mía.,flashcards
noara yoyo iresai,continuamos charlando.,flashcards
¿jaweti maton kopiaka?,¿cuánto pagaron?,flashcards
westiora shinanra en ake,yo hice un trato.,flashcards
enra xeati yamake,no debería beber.,flashcards
¿enki xepoti atipana?,¿puedo correr las cortinas?,flashcards
nato mia menikasira ike,quería darte esto.,flashcards
jain rakantibo boban,llevo marcapasos.,flashcards
winira ibake,estaba llorando.,flashcards
tomara ike,tomás eructó.,flashcards
¿min jawe jonea?,¿ocultaste algo?,flashcards
¿min shinanti atipana?,¿podés imaginarlo?,flashcards
matora moa kati yoike,están despedidos.,flashcards
icha ebe raenanaiya riki ea,tiene muchos amigos.,flashcards
mia vinoya iki,tienes vino.,flashcards
jato ninkamatiyara noa ika iki,teníamos nuestros motivos.,flashcards
maton kenrin ransati,les gusta bailar.,flashcards
¿jirita jisarin?,¿acaso vivirá?,flashcards
jatibi jara en onanke,yo sé todo eso.,flashcards
kikini chinitara ibake,estaba realmente atrasado.,flashcards
¿jawe piti mia bokasaii?,¿qué quieres de almuerzo?,flashcards
xateta keska riki mia,pareces sorprendido.,flashcards
icha korikiya,tiene mucho dinero.,flashcards
ea parani riki mia,me estás mintiendo.,flashcards
¿jaweki akanai?,¿qué harán?,flashcards
¿jaweranorin jain jikiti?,¿dónde queda la entrada?,flashcards
¿en nato ointi atipana?,¿puedo ver éste?,flashcards
¿jawe min shinana?,¿qué decidiste?,flashcards
enra onanwanke winoti kai,sabía que pasaría.,flashcards
tsonbira onanyamai,nadie sabrá.,flashcards
¿tee akirin mia?,¿estás ocupado?,flashcards
eara jatishanresai,sigo estornudando.,flashcards
eara kati jake,me debería ir.,flashcards
enra icha jaweki onanke botena,sé mucho de barcos.,flashcards
eara manoke,me perdí.,flashcards
meka nokoi pisaranakena noitoki.,quiero que me cortes el cabello.,cuentos
¿minki ea paranai?,¿me estás mintiendo?,flashcards
nenobi banewe,quedate acá.,flashcards
mato jakon imakasi,solo quería enorgullecerlos.,flashcards
¿budistarin mia?,¿eres budista?,flashcards
winota jaweki yoiyaibo,somos periodistas.,flashcards
¿en mia bema jaweki mia bia?,¿recibiste mi paquete?,flashcards
¿en nato bata jaweki piti atipana?,¿puedo comerme ese pastel?,flashcards
moa atires riki noa,estamos casi listos.,flashcards
¿tsonki joe aka?,¿quién los invitó?,flashcards
paitameeka ojokantanajenari.,por lo que me hizo.,cuentos
¿jawe keniki ikana?,¿qué querían?,flashcards
tomra yoyo iwanke,tom contestó el teléfono.,flashcards
¿min kenrin jugo?,¿te gusta el jugo?,flashcards
¿min poiki bakeya iki?,¿tu hermana tiene hijos?,flashcards
jawekestaxra ibirake,no sé cómo sucedió.,flashcards
¿ea osanti akirin mia?,¿me estás bromeando?,flashcards
jakoma jawekira en ayamake,no hice nada malo.,flashcards
¿maton noa ninkati atipana?,¿puedes oírnos?,flashcards
jara jaskati iwanke,ella estaba jadeando.,flashcards
tomasninra potake,tomás votó.,flashcards
westiora bicicletaya riki ea,tengo una bicicleta roja.,flashcards
enra moa ake,ya lo hice.,flashcards
enra onanke jawerin ixon,sé lo que es.,flashcards
icha jawekibora en bike,compré muchas cosas.,flashcards
ea yoiwe jaweki winota,dime qué pasó.,flashcards
itsipatanakaro ijinapee anta iramanerira icharine inki.,fue con su familia a buscar alimento.,cuentos
mato kenresai,quieren más.,flashcards
ebe banewe,quedate conmigo.,flashcards
mia pari kawe,vaya usted primero.,flashcards
¿jaweki en ati atipana?,¿qué puedo hacer aún?,flashcards
ikonran iwanke,resultó ser cierto.,flashcards
¡enra mia noike!,¡te amo!,flashcards
ochoira ja riki mia,vives demasiado lejos.,flashcards
min axeamisra ikai ja,seré tu profesor.,flashcards
ja pekao en mia oinbanon,nos vemos luego.,flashcards
bakishra ea isini ibake,ayer estaba enferma.,flashcards
jara yosike,él envejeció.,flashcards
natora kerasma iki,este está limpio.,flashcards
kikin onan riki mia,eres ingenuo.,flashcards
tomanra kananke,tom ganó.,flashcards
bakishra tsoabi teeyamai,mañana es feriado.,flashcards
eabicho riki neno,estoy sola acá.,flashcards
¿tomki joa?,¿vino tom?,flashcards
enra oinai,lo miraré.,flashcards
¡ea meniwe moa!,¡dámelo ya!,flashcards
jatibi ea yoiwe,dime todo.,flashcards
eara joribakasai,quiero regresar.,flashcards
ja pekaora joai,habrá consecuencias.,flashcards
miara xoake,has engordado.,flashcards
¿jaokampa pairori oka nija obakoyetainchari kobitikika?,¿de dónde viene esta agua que aparece en el cántaro?,cuentos
¿senen korikiyarin mia?,¿tienes suficiente dinero?,flashcards
koirametira jake,debería tener más cuidado.,flashcards
keteta riki,está funcionando.,flashcards
sikai riki ea,estoy pintando.,flashcards
yamekirira ja nokoyamai,el mañana nunca llega.,flashcards
ramara mia metsashaman iki,estás muy linda hoy.,flashcards
romara italiain iki,roma queda en italia.,flashcards
yoyo iwe quedito,habla quedito.,flashcards
"―tebe kamake apa irokea, ina oshitikakotanakena.",― mi padre se murió y mi madre me amarró a este poste y me dejó.,cuentos
tomra jansoibake,tom mintió.,flashcards
¿en mia jeman ointi atipana?,¿puedo verte afuera?,flashcards
yoyo atiki en onana,sé leer.,flashcards
¿mia te kenresai?,¿todavía necesitas té?,flashcards
eabichora jakashamai,odio vivir solo.,flashcards
¿jainki mia ibata?,¿estabas allí?,flashcards
¿ja neteki mia jawerano ibata?,¿dónde estabas ese día?,flashcards
¿jawe min onana?,¿qué sabes?,flashcards
tomra ori kayamaibake,tom no fue allá.,flashcards
¿minki akai?,¿lo harás?,flashcards
icha jonira mawaibake,muchas personas murieron.,flashcards
ramara noa westiora wishati menikanai,hoy tendremos una prueba.,flashcards
¿mia ebe piikasai?,¿quieres almorzar conmigo?,flashcards
ramabi ati riki,hagámoslo ahora.,flashcards
ochora nokotai,llegará lejos.,flashcards
ea ninkamawe,déjame oírlo.,flashcards
minra jakomaake,lo heriste.,flashcards
minra yoibake,lo prometió.,flashcards
¿jakon winotiki mia iitai?,¿estás pasándola bien?,flashcards
¿mia tenis tsiniai?,¿juegas tenis?,flashcards
¿jaweranoki en mato merati atipana?,¿dónde puedo encontrarlos?,flashcards
miara jaya iki,sé que lo tienes.,flashcards
jara mawatiki,ello sería suicida.,flashcards
minra peoribiti jak e,tendrás que empezar.,flashcards
rama nete oi beaira yoikanke,anunciaban lluvia para hoy.,flashcards
¿jaweti sereki min manaibata?,¿cuánto estuviste esperando?,flashcards
panshinbo riki,están amarillos.,flashcards
yamera tom nokowanke,él llegó aquí anoche.,flashcards
ainbo benaira ea ike,quería compañía femenina.,flashcards
tomra keras ibake,tom estaba sucio.,flashcards
¿min ea ninkatai?,¿me oyes?,flashcards
¿ea pari iti atipana?,¿puedo ser primero?,flashcards
¡kexa chopewe!,¡abre la boca!,flashcards
bakishra noa kai,nos iremos mañana.,flashcards
zapatobora ea kenai,quisiera unos zapatos.,flashcards
¿min kenki ika?,¿te gustó?,flashcards
enra sinamake,la hice enfadar.,flashcards
tantira noa maxkake,sólo necesitamos relajarnos.,flashcards
tomra jawe akima ibake,tom estaba disponible.,flashcards
oabaonra tom akinke.,ellas ayudaron a tom.,flashcards
jain riki bochiki mia manax,está allá arriba esperándole.,flashcards
jainra moa boyamakanai,ya nadie va allá.,flashcards
meeka ijataji atiri.,luego el hombre se fue.,cuentos
¿miara yoinabo ikainko kakasai?,¿quieres ir al zoo?,flashcards
eara ochoma banetai,me quedaré cerca.,flashcards
isin riki,sé que duele.,flashcards
ja pekaora joribai,volveré luego.,flashcards
ninkatai iwe,sé serio.,flashcards
wishtin namanra noa oxake,dormimos bajo las estrellas.,flashcards
jawebira jakomama iki,nada importa realmente.,flashcards
¿ja min ninkatai?,¿oyes eso?,flashcards
enra ninkayamake,le ignoré.,flashcards
bakishra ea joai,venga mañana.,flashcards
¿min en kenaribiti atipana?,¿puedo llamarte de vuelta?,flashcards
jara ochoma ibake,ese estuvo cerca.,flashcards
chicho rankanwe,mándenlo adentro.,flashcards
