source,target,dataset
"chichi napatini,","cuando estaba recogiendo leña,",relatos
netatkalo wa kamla.,ya he visto al comején.,relatos
"chichi gapatachri neta,",veo al hombre que recoge leña.,relatos
wane-ya gapatachri.,el que recoge fue allá.,relatos
getachine yatnaka.,los testigos se van otra vez.,relatos
chichi tapata mama.,mi mamá recoge leña.,relatos
panchi nyatka.,fuí a la casa.,relatos
gi wetawana getachine.,no vimos todavía a los testigos.,relatos
chichi gapatachri panchi-ya.,el que recoge leña va a la casa.,relatos
netmaklu gapatachri.,quisiera ver al que estaba recogiéndola.,relatos
"¿ginaka-ya chichi gapatachri, mama?","mamá, ¿a dónde fueron los que recogen leña?",relatos
¿gi ge runkakyi papa?,¿no te dijo mi papá?,relatos
wunkakna getachine.,les dijimos a los testigos.,relatos
wetawana getachine.,vemos a los testigos todavía.,relatos
panchi getachine netya.,vi a los testigos en la casa.,relatos
¿ginaka-ya mosa?,¿a dónde fue la lechuza?,relatos
gi wa panchi-ya mosa.,la lechuza no fue a la casa.,relatos
netmaklu mosa.,quisiera ver a las lechuzas.,relatos
chichi gapatachri mosa geta. piklewata.,el que recoge leña ve a la lechuza. tiene miedo.,relatos
mosane katagiri geta.,las lechuzas ven las estrellas.,relatos
gi wa metkatni mosa.,la lechuza no es ciega.,relatos
nyonakini mosane neta ga wa walone.,"cuando estaba cultivando, vi a las lechuzas y a los conejos.",relatos
mosane piklewata.,las lechuzas tienen miedo.,relatos
netatkalo yotlo.,ya veo al cangrejo.,relatos
netmaklu mosa.,quisiera ver a la lechuza.,relatos
gi wa panchi-ya mosa.,la lechuza no va a la casa.,relatos
mosane wane-ya.,las lechuzas van allá.,relatos
wane gyonakya.,ustedes cultivan allá.,relatos
getachine rapga-ya.,los testigos van al río.,relatos
walo gasuka.,el conejo se escapa.,relatos
¿ginaka-ya mosa?,¿a dónde va la lechuza?,relatos
mosane gasuka.,las lechuzas se escapan.,relatos
petanro yotlo.,mira al cangrejo.,relatos
yotlo gasuka.,el cangrejo se escapa.,relatos
kpinrewakleru gasukamta.,el médico corre.,relatos
¿ginaka-ya kpinrewakleru?,¿a dónde va el médico?,relatos
papa gasukamta. rapga-ya.,mi papá corre. va al río.,relatos
¿gi ge wane gyonakya?,¿no cultivaban ustedes allí?,relatos
petanro. walo gasuka.,míralo. el conejo se escapa.,relatos
wetawana gasukachine.,vemos todavía a los que se escapan.,relatos
gasukachine rapga-ya.,los que se escapan van al río.,relatos
popo gapatachri ga wa kpinrewakleru gasukamta.,el que recoge cocona y el médico corren.,relatos
walone gasukmaka.,los conejos quisieran escaparse.,relatos
yotlo gasukmaka.,el cangrejo quisiera escaparse.,relatos
gita gasukamta.,yo corro.,relatos
yotlo wetapa.,vamos a ver al cangrejo.,relatos
runkakyi jeji wa gasukachine reta.,el hombre te dice que vio a los que se escapaban.,relatos
jeji gasukamta.,el hombre corre.,relatos
jema piklewata.,la sachavaca tiene miedo.,relatos
jema gasukmaka.,la sachavaca quisiera huir.,relatos
wetawana gasukachine.,vemos todavía a los que huyen.,relatos
walo gasuka.,el conejo huye.,relatos
rapga yajeta wa jema.,la sachavaca siempre va al río.,relatos
wane jeji gasukamta.,el hombre corre allí.,relatos
panchi mama yajeta.,mi mamá va siempre a la casa.,relatos
wane gyonakya.,ustedes cultivan allí.,relatos
jema getjetachri wane.,hay uno que siempre mira a la sachavaca.,relatos
getjetachri rapga-ya.,el que siempre la mira va al río.,relatos
wane gasukachine yajeta.,los que huyen siempre van allá.,relatos
wa jeji gasukamta.,el hombre corre.,relatos
panchi jeji gasukamta.,el hombre corre a la casa.,relatos
jemachri wane yajeta.,el que oye siempre va allí.,relatos
gasukachine wa mosane.,las lechuzas son los que se escapan.,relatos
gi metkatni wa mosa.,la lechuza no es ciega.,relatos
getjetachri ga wa jemachri wa jeji.,el hombre ve y oye siempre.,relatos
putu napatjeta ga wa krapru napatjeta.,recojo luciérnagas y recojo shimbillo.,relatos
mosa rapga yajeta.,la lechuza va siempre al río.,relatos
getjetachri wa jeji ga wa jemachri.,el hombre ve y oye siempre.,relatos
wetawana gasukamtachine.,vemos todavía a los que corren.,relatos
gasukamtachine yajeta.,los que corren siempre van.,relatos
mosane jemachri yajeta.,el que oye a las lechuzas siempre va.,relatos
mosa getjetachri wane.,hay uno que siempre mira a la lechuza.,relatos
krapru napatjeta.,yo siempre recojo shimbillo.,relatos
krapru napatjeta.,yo quisiera recoger shimbillo.,relatos
putu napatmaka.,yo quisiera recoger luciérnagas.,relatos
ponro napatmaka.,yo quisiera recoger ciempiés.,relatos
mosane jemachri gina.,viene el que oye a las lechuzas.,relatos
gasukamtachine jema.,oye a los que corren.,relatos
chichi napatjeta.,recojo leña siempre.,relatos
krapru napatmaka ga wa putu napatmaka.,"quisiera recoger shimbillo, y quisiera recoger luciérnagas.",relatos
walone gasukamtachine kpinrewakleru jema.,el médico oye a los conejos que están corriendo.,relatos
jeji chichi gapatachri panchi yajeta.,el hombre que recoge leña siempre va a la casa.,relatos
yotlo gapatachri rapga yajeta.,el que recoge cangrejos siempre va al río.,relatos
gasukamtachine panchi-ya.,los que corren van a la casa.,relatos
chichi napatmaka.,yo quisiera recoger leña.,relatos
pupra walo gasukmaka.,tu conejo quisiera escaparse.,relatos
yotlo napatjeta.,yo siempre recojo cangrejos.,relatos
yotlo gasukmaka.,los cangrejos quisieran escaparse.,relatos
yotlo piklewata.,los cangrejos tienen miedo.,relatos
putu napatjeta.,yo siempre recojo luciérnagas.,relatos
putu gasukmaka.,las luciérnagas quisieran escaparse.,relatos
yawo gasukmaka.,el pelejo quisiera escaparse.,relatos
runkakyi getjetachri.,el que lo vió te dice.,relatos
"runkakyi jemachri, ga wa nunkakyi gita.","el que oyó te dice, y yo te digo.",relatos
nunkakgi ga wa kpinrewakleru jema.,"les digo a ustedes, y el médico me escucha.",relatos
wetawana gasukachine.,vemos todavía a los que corren.,relatos
gasukachine gita jema.,yo oigo a los que corren.,relatos
wunkakyi mama.,te decimos mamá.,relatos
"mama, krapru napatmaka,","mamá yo quisiera recoger shimbillo,",relatos
ga wa yotlo napatmaka.,y quisiera recoger cangrejos.,relatos
runkakyi kpinrewakleru.,el doctor te dice.,relatos
mtur-gapga yana mturune.,los niños van a la quebrada pequeña.,relatos
gawaka yana.,van río arriba.,relatos
krapru retapna.,van a ver el shimbillo.,relatos
krapru rapatna mturune.,los niños recogen el shimbillo.,relatos
gi gepi-pu krapru rapatna.,recogen mucho shimbillo.,relatos
wale nikna.,este comen.,relatos
"mtur-gapga gayapini, myamtujwe wetya.",cuando fuimos por la quebrada vimos a un jergón.,relatos
wpikpotuta. wasukamtana.,tuvimos mucho miedo. fuimos corriendo.,relatos
koko wunkakapa.,se lo dijimos a nuestro tío.,relatos
"“gowa,” china koko, “gi gowka gyanu.”","“oh,” dijo nuestro tío, “que no vayan lejos.”",relatos
ruyolkapa papa.,mi papá va a cazar.,relatos
¿kluneru ranikyegitanwu?,¿qué nos va a traer?,relatos
"mchir-getko ga wa kina wnikgetkotanutka,","tal vez es una maquisapa o un coto que vamos a comer,",relatos
ga wa giyeka waneyapwu.,o vamos a tener un paujil.,relatos
satokatka papa.,nuestro papá ya ha vuelto.,relatos
mgenoklu gima reta.,dice que vio a un tigre.,relatos
gi piklu papa.,mi papá no le tenía miedo.,relatos
wale gi piklewata.,él no es uno que tiene miedo.,relatos
gi wa mturni papa.,mi papá no es un niño.,relatos
wale girukotwu.,él nos cuida.,relatos
tet-nikletwu mama.,nuestra mamá nos da de comer.,relatos
serolga tutwu.,nos da chapu para beber.,relatos
wane pnutje jima-pro ga wa kapiripa tenekwu.,entonces nos da plátano tostado y bochechico.,relatos
papa giyolkapa ga wa mama giwlalewata.,mi papá va a cazar y mi mamá cocina.,relatos
rolotna mama ga wa papa.gi gepiko wane.,mi mamá y mi papá ahuman mitayo.tienen mucho.,relatos
"kapiripa neta, ga wa kolyo, ga wa tora.","veo boquichico, y otro pescado, y corbina.",relatos
ga wa kin-gitu wane ga wa gipet-gitu.,también hay carne de coto y carne de ronsoco.,relatos
mama girukotlu panchi.,mi mamá cuida de la casa.,relatos
kigle-pjiru wupji.,nuestra casa es una casa bonita.,relatos
papa kamru-pjitlu.,mi papá la edificó.,relatos
mama powratjetlu.,mi mamá siempre la limpia.,relatos
wumjikyegitlu wupji.,estamos contentos de nuestra casa.,relatos
kapogalewata wiwi.,mi hermanito está enfermo.,relatos
gowa. ¿gi ge rutuka?,¿verdad? ¿no ha sanado?,relatos
"gi rutukawa, seyni rutuklewananumta.","no ha sanado todavía, pero está mejorándose.",relatos
¿pkapogalewata pixa?,¿no estás enfermo tú?,relatos
gi nkapogalewata gita.,yo no estoy enfermo.,relatos
psol-gogneko rapogata wenu.,el río ha estado creciendo todo el día.,relatos
"gitkomga gayapa,",andamos en los lodazales.,relatos
giyagni mama tomgawu.,entonces nuestra mamá nos llama.,relatos
kga potwu.,estamos muy mojados.,relatos
tomgawu mama.,nuestra mamá nos llama.,relatos
totu wetapanu.,vamos a ver a nuestro abuelito.,relatos
ralukpotutwu totu.,nuestro abuelito nos ama mucho.,relatos
wetapanru wale.,vamos a verlo.,relatos
wale gimuwatanu.,él va a estar alegre.,relatos
gi gepikna noprane.,tengo muchos animales.,relatos
"kewe waneyno, ga wa kwaga, ga wa gipetu,","tengo un perro, un toconcito, un ronsoco,",relatos
"ga wa kayatu, ga wa gapro ga wa yopri.","y un majás, y un lorito, y un oriopéndula.",relatos
gepna kewene noprane.,tengo dos perros que son míos,relatos
"yeye, kwaga nunka.","hermano, yo he matado a un tocón.",relatos
"gowa, wiwi. kwaga punka.","de veras, hermanito. has matado a un tocón.",relatos
gigi. gitako ginkanru.,"sí, yo mismo lo maté.",relatos
"poyagnu, wiwi.",¡qué bueno! hermanito.,relatos
kwaga punkatka.,ya has matado a un tocón.,relatos
ga wa gita wagaga nunka.,y yo he matado a un guapo.,relatos
teno-ya yopn.,la oriopéndola vuela alto.,relatos
ga wa gapro teno-ya.,también el lorito vuela alto.,relatos
gi teno-ya kayatu.,el majás no va alto.,relatos
gi teno-tya kapiripa.,el bocachico no va alto.,relatos
kapiripa gonu-twa.,el bocachico que en el agua.,relatos
gi wa teno-nya gita.,yo no voy alto.,relatos
teno katagiri netya.,veo una estrella en el cielo.,relatos
gi wa gogi netanro.,no la voy a ver en el día.,relatos
putu gogi gi netya.,no veo a la luciérnaga en el día.,relatos
kata wa putu.,la luciérnaga brilla.,relatos
gi wa gogi kata.,no brilla de día.,relatos
gi wa gogi tetka katagiri.,de día no se ve la estrella.,relatos
wkawapa. rapga gaya.,fuimos a bañarnos. fuimos al río.,relatos
wane wkawya.,allí bañamos.,relatos
gonu wyenewatya.,jugamos en el agua.,relatos
kayi wkawpatnaka.,en la tarde nos bañamos otra vez.,relatos
rapga gayatnaka.,vamos otra vez al río.,relatos
gonu wyenewatyatnaka.,jugamos otra vez en el agua.,relatos
nyagapgata. gawaka-nya.,viajamos. voy río arriba.,relatos
gowuka napokanu.,voy a ir a un lugar lejano.,relatos
kokone yegi napokanu.,voy a llegar donde mis tíos viven.,relatos
"kokone netapanu, ga wa nato ya wa yeye netapanu.","voy a ver a mis tíos, a mi tía y a mi hermano mayor.",relatos
wane pnute papa yegi nyanu.,después voy a ir a donde mi papá.,relatos
nepuru nkata.,baño a mi hermanito.,relatos
gonu yenewatya wiwi.,mi hermanito juega en el agua.,relatos
gonu nuknokanru.,le echo agua.,relatos
nuprikakanru wiwi.,le seco a mi hermanito.,relatos
"wuya. gayiri, wiwi.","allí estás. vete, hermanito.",relatos
"wapra, ¿ginakaktayi?","¿dónde estás, buho?",relatos
ga wa. wane ptunwanata.,¡ah! allí estás parado.,relatos
ptunogita ¿gi ge petno?,ves hacia arriba. ¿no me ves?,relatos
"netatkayi, wapra.","ya te veo, buho.",relatos
gi pikanu. gi nunkanyi.,no tengas miedo. no te voy a matar.,relatos
giyeka nunkanuntka.,yo voy a matar a un paujil.,relatos
runyegitno nanuru.,mi primo me visita.,relatos
rapga gaya.,vamos al río.,relatos
kanawa wupteka.,nos embarcamos en una canoa.,relatos
wanogata. wyenewagata.,nadamos. jugamos en el agua.,relatos
kanawa wkoprotaka.,volteamos la canoa.,relatos
nuru girukotno.,mi padre me cuida.,relatos
giyagni gike npika.,por esta razón no tengo miedo de nada.,relatos
gike pika nuru.,mi padre no tiene miedo de nada.,relatos
gi wa kokopiko pika.,ni de la culebra misma tiene miedo.,relatos
giyagni gi wpika gita ga wa wiwi ga wa nopra.,"por esta razón, yo, mi hermanito y mi animalito no tenemos miedo.",relatos
kiruka nyonatya.,escribo en un papel.,relatos
pa yongakaka nutaka.,escribo las letras.,relatos
ngiwaka nutakanutnaka.,escribo mi nombre otra vez.,relatos
pa yongakaka nuptakanu.,copio las letras otra vez.,relatos
wogitatka. wyotunota.,amanecemos. nos levantamos.,relatos
rapga gaygapkata.,primeramente vamos al río.,relatos
wane werkinawa.,allí nos lavamos.,relatos
wane pnutje wnikapanu.,después vamos a comer.,relatos
gi wugrokanutka.,no vamos a estar débiles.,relatos
rapga wkawya.,nos bañamos en el río.,relatos
gi kayagokni gagyo.,hay muchos zancudos.,relatos
gi werkapotuta.,no nos lavamos mucho.,relatos
gagyo wpika.,tememos el zancudo.,relatos
kapiripa wunkapanu nanuru ga wa gita.,mi primo y yo vamos a picar bocachicos.,relatos
panu ganikgata.,mi primo boga.,relatos
gita ginkanro kapiripa.,yo voy a picar los bocachicos.,relatos
nato wenekanro.,se los voy a dar a mi tía.,relatos
kapiripa wnikanu.,vamos a comer los bocachicos.,relatos
wunro gitwu.,nuestra madre nos da de beber.,relatos
tenekwu wnikanru.,nos da nuestra comida.,relatos
tenekwu wutakanru.,nos da nuestra ropa.,relatos
tgirukotwu wunro.,nuestra madre nos cuida.,relatos
wunro ga wa wuru girukotgognenatwu.,nuestra madre y nuestro padre siempre nos cuidan.,relatos
¡gi gektutni nokanopi!,¡qué bonita es mi camisa!,relatos
gerotu renekno papa.,mi padre me dio una camisa nueva.,relatos
wa kapokotu nuknokanu,voy a botar mi camisa vieja.,relatos
"gerotu nutakanutka, wa papa genekyano","ya voy a ponerme la nueva, que mi papá me dio.",relatos
¡gi gektutni wa gerotu!,¡qué bonita es mi camisa!,relatos
nanuru gepukno.,mi primo me llama.,relatos
gipetu retatka.,ha visto a un ronsoco.,relatos
gipetu wunkapanu panu ga wa gita.,mi primo y yo vamos a picar al ronsoco.,relatos
teknoka yeye.,nuestra hermana mayor vuelve a vernos.,relatos
tetwu panu ga wa gita.,nos ve a mi primo y a mí.,relatos
petanru yawuro.,mira al toyo.,relatos
"pete, yeye. petapanru.","mira, hermano. ven a verlo.",relatos
ten-potu ya yawuro.,el toyo vuela muy alto.,relatos
gi pa gogneko wunkanru.,nunca lo vamos a picar.,relatos
ten-potu ya.,vuela muy alto.,relatos
gi wapkapanru.,no le alcanzamos.,relatos
tuprotakanu kanawa.,la canoa se ha volteado.,relatos
¡ge! nuptekgatatka.,¡ay! he caído en el agua.,relatos
"pete, wiwi. kga-potno.","mira, hermanito. estoy muy mojado.",relatos
wkoprotakanro kanawa.,vamos a voltear la canoa.,relatos
nokanopi nanokanu.,voy a asolear mi camisa.,relatos
wuprane wyantatanu.,vamos a contar nuestros animales.,relatos
gi gepikna wuprane.,tenemos muchos animales:,relatos
gepi kewene ga wa yokgipi kewe wgenene.,tenemos dos perros y ocho perritos.,relatos
wane pnute gepi kinane ga wa gepi pawone waneywu.,además tenemos dos cotos y dos pavos.,relatos
"wuya, pakakanru kewe.",rápido. bota al perro.,relatos
kina gitu nikapa.,está comiendo la carne del coto.,relatos
"wuya, wiwi.","rápido, hermanito.",relatos
pupra pakakanu ga wa noprani.,bota a tu animalito y a mi animalito.,relatos
gigitu pgirukotanu.,cuida de la carne.,relatos
rupruruta gipetu.,el ronsoco se revuelca.,relatos
gitkomga ruprurutya.,se revuelca en el lodazal.,relatos
gi rupruruta kewe.,el perro no se revuelca.,relatos
gi rugrita kewe.,el perro no brama.,relatos
gi rugrita gipetu.,el ronsoco no brama.,relatos
gi rugrita kayatu.,el majás no brama.,relatos
wenu gogote-tya gawayi.,la gaviota vuela sobre el río.,relatos
wane gawayi wetya.,allí vimos la gaviota.,relatos
popnirni wa gawayi.,la gaviota es morena.,relatos
"wakanu gawayi wetya,","vimos la gaviota en la banda,",relatos
ga wa wanga gawayi wetatnaka.,y vimos la gaviota otra vez en la orilla.,relatos
¡ge! pwapwa neta.,¡oh! veo una ‘pwapwa’.,relatos
"gike, wiwi.","no, hermanito.",relatos
gi pwapwa peta.,tú no ves una ‘pwapwa’.,relatos
gi-twa pwapwa.,la ‘pwapwa’ no existe.,relatos
kowi tanika nato.,mi tía trae la bocina.,relatos
papa teneka.,se la da a mi papá.,relatos
kowita papa.,mi papá toca la bocina.,relatos
pa katkaka kowita.,la toca varias veces.,relatos
gi kowita wiwi.,mi hermanito no la toca.,relatos
gi gitako kowita.,ni yo mismo la toco.,relatos
¿knanwa nyi?,¿quiénes son ellos?,relatos
pa nerune pguta.,parece que son de otra tribu.,relatos
gigi. gipetunerune gapokatka.,sí. los amahuacas han llegado.,relatos
"pa yineko wetatka,","hemos visto a los otros indígenas,",relatos
ga wa gipetunerune getwu.,y los amahuacas nos ven.,relatos
kapiripa nika papa.,mi papá come boquichico.,relatos
tora nika koko.,mi tío come corbina.,relatos
gi gepiko nika koko.,mi tío come muchos peces.,relatos
gita kapiripa nika,"yo como boquichico,",relatos
ga wa wiwi tora nika.,y mi hermanito come corbina.,relatos
nato gike nika.,mi tía no come nada.,relatos
paranta-pu nika wiwi.,mi hermanito come plátanos.,relatos
kapiripa nikatnaka.,también come bocachicos.,relatos
tutwu nato.,mi tía nos da de beber.,relatos
"wiwi tuta, wane pnutje gita tutatnaka.",le da de beber a mi hermanito y también me da de beber.,relatos
gi wkegekatka.,hemos tomado suficiente.,relatos
gi gepika runka patu.,mi tío mata muchos animales.,relatos
"pinga runka, ga wa pinatu.",mata al paucar y al piconcito.,relatos
wane pnute yoko runka.,también mata al yongururo.,relatos
"ga wa gogru, giyeka,gakagaka runkatnaka.","también mata al conchale, al paujil y a la gercita.",relatos
ga wa koyano runka.,también mata al gavilán.,relatos
gitawaka wetapa.,fuimos a ver la peña.,relatos
